experiment_id,embedding_model,embedding_type,embedding_dimension,chunk_size,chunk_overlap,chunk_count,id,question,ground_truth_type,question_type,expected_document_1,expected_document_2,retrieved_rank_1_doc_id,retrieved_rank_2_doc_id,retrieved_rank_3_doc_id,retrieved_rank_1_score,retrieved_rank_2_score,retrieved_rank_3_score,hit_at_1,hit_at_3,any_hit_at_1,any_hit_at_3,all_hit_at_3,reciprocal_rank,retrieval_latency_ms
openai_text_embedding_3_small,text-embedding-3-small,api,1536,1024,128,483,eval_001,A Kubernetes Pod stays Pending after deployment and no container logs exist yet. What should I inspect first?,single,single-troubleshooting,k8s_debug_pods,,k8s_debug_running_pod,k8s_debug_pods,k8s_liveness_readiness_startup_probes,0.6425888538360596,0.755127489566803,0.8270519971847534,0,1,0,1,1,0.5,143.809
openai_text_embedding_3_small,text-embedding-3-small,api,1536,1024,128,483,eval_002,A Pod is Running but the application is not responding on its expected port. What diagnostic path should I start with?,single,single-troubleshooting,k8s_debug_running_pod,,k8s_debug_services,k8s_liveness_readiness_startup_probes,k8s_debug_pods,0.8657751083374023,0.8912473917007446,0.8935942649841309,0,0,0,0,0,0.14285714285714285,136.94
openai_text_embedding_3_small,text-embedding-3-small,api,1536,1024,128,483,eval_003,A Service has a ClusterIP but requests do not reach any backend Pods. What Kubernetes troubleshooting document should guide the investigation?,single,single-troubleshooting,k8s_debug_services,,k8s_debug_services,k8s_debug_pods,k8s_debug_pods,0.7711037397384644,0.7814935445785522,0.8559393286705017,1,1,1,1,1,1.0,317.201
openai_text_embedding_3_small,text-embedding-3-small,api,1536,1024,128,483,eval_004,Several Pods restart only after the application becomes unresponsive for a while. Which probe behavior should be reviewed?,single,single-troubleshooting,k8s_liveness_readiness_startup_probes,,k8s_debug_running_pod,k8s_liveness_readiness_startup_probes,k8s_liveness_readiness_startup_probes,0.7480043172836304,0.754359245300293,0.8150261640548706,0,1,0,1,1,0.5,249.673
openai_text_embedding_3_small,text-embedding-3-small,api,1536,1024,128,483,eval_005,CPU usage rises during traffic spikes but replica count does not increase. Which Kubernetes autoscaling document is the primary source?,single,single-troubleshooting,k8s_horizontal_pod_autoscaling,,k8s_horizontal_pod_autoscaling,k8s_horizontal_pod_autoscaling,k8s_horizontal_pod_autoscaling,0.8495623469352722,0.864113986492157,0.8743638396263123,1,1,1,1,1,1.0,139.842
openai_text_embedding_3_small,text-embedding-3-small,api,1536,1024,128,483,eval_006,A container is killed when memory usage grows beyond its configured boundary. Which document explains the relevant Kubernetes resource settings?,single,single-troubleshooting,k8s_resource_management,,k8s_resource_management,k8s_resource_management,k8s_resource_management,0.5610812902450562,0.6583776473999023,0.7748472094535828,1,1,1,1,1,1.0,294.63
openai_text_embedding_3_small,text-embedding-3-small,api,1536,1024,128,483,eval_007,An application should receive environment specific non-secret settings without rebuilding its image. Which Kubernetes object is relevant?,single,single-conceptual,k8s_configmaps,,k8s_secrets,k8s_secrets,k8s_secrets,0.8747434616088867,0.8949687480926514,0.9546540975570679,0,0,0,0,0,0.125,122.461
openai_text_embedding_3_small,text-embedding-3-small,api,1536,1024,128,483,eval_008,A Pod needs a database password without placing it directly in the image or normal config file. Which Kubernetes object should be used?,single,single-conceptual,k8s_secrets,,k8s_secrets,k8s_secrets,k8s_secrets,0.6894298791885376,0.8278380036354065,0.8579913973808289,1,1,1,1,1,1.0,302.178
openai_text_embedding_3_small,text-embedding-3-small,api,1536,1024,128,483,eval_009,After a container restarts I need to understand where Kubernetes expects application logs to come from. Which document is relevant?,single,contextual,k8s_logging_architecture,,k8s_logging_architecture,k8s_logging_architecture,k8s_observability,0.7195429801940918,0.7661146521568298,0.8958571553230286,1,1,1,1,1,1.0,136.058
openai_text_embedding_3_small,text-embedding-3-small,api,1536,1024,128,483,eval_010,I need a broad view of what signals Kubernetes exposes for operating a cluster. Which document should be retrieved?,single,single-conceptual,k8s_observability,,k8s_observability,k8s_observability,k8s_observability,0.7869002819061279,0.9316738843917847,0.9539451003074646,1,1,1,1,1,1.0,120.305
