experiment_id,id,question,ground_truth_type,question_type,expected_document_1,expected_document_2,expected_documents,configured_top_k,retrieved_rank_1_doc_id,retrieved_rank_2_doc_id,retrieved_rank_3_doc_id,retrieved_rank_4_doc_id,retrieved_rank_5_doc_id,top_1_distance,top_3_doc_ids,top_5_doc_ids,top_10_doc_ids,top_5_chunk_ids,top_5_distances,first_expected_ranks,hit_at_1,hit_at_3,hit_at_5,any_hit_at_1,any_hit_at_3,any_hit_at_5,all_hit_at_1,all_hit_at_3,all_hit_at_5,reciprocal_rank,threshold,threshold_decision,threshold_classification,unique_doc_count,duplicate_chunk_count,duplicate_ratio,max_same_doc_occupancy,max_same_doc_occupancy_ratio
frozen_final,eval_041,A newly created Pod never leaves Pending and the scheduler appears unable to place it on a node. Which document should be retrieved?,single,single-troubleshooting,k8s_debug_pods,,k8s_debug_pods,5,k8s_debug_pods,k8s_debug_pods,k8s_resource_management,k8s_debug_running_pod,k8s_debug_running_pod,0.8369563817977905,k8s_debug_pods|k8s_debug_pods|k8s_resource_management,k8s_debug_pods|k8s_debug_pods|k8s_resource_management|k8s_debug_running_pod|k8s_debug_running_pod,k8s_debug_pods|k8s_debug_pods|k8s_resource_management|k8s_debug_running_pod|k8s_debug_running_pod|k8s_resource_management|k8s_debug_pods|k8s_debug_pods|k8s_debug_running_pod|k8s_debug_pods,k8s_debug_pods::0001|k8s_debug_pods::0002|k8s_resource_management::0022|k8s_debug_running_pod::0009|k8s_debug_running_pod::0011,0.836956|0.948034|0.958601|1.003329|1.010891,k8s_debug_pods:1,1,1,1,1,1,1,1,1,1,1.0,1.042478,accept,TA,3,2,0.4,2,0.4
frozen_final,eval_042,A container accepts traffic too early and fails user requests during startup. Which Kubernetes probe guidance is most relevant?,single,contextual,k8s_liveness_readiness_startup_probes,,k8s_liveness_readiness_startup_probes,5,k8s_liveness_readiness_startup_probes,k8s_liveness_readiness_startup_probes,k8s_liveness_readiness_startup_probes,k8s_liveness_readiness_startup_probes,k8s_liveness_readiness_startup_probes,0.5679912567138672,k8s_liveness_readiness_startup_probes|k8s_liveness_readiness_startup_probes|k8s_liveness_readiness_startup_probes,k8s_liveness_readiness_startup_probes|k8s_liveness_readiness_startup_probes|k8s_liveness_readiness_startup_probes|k8s_liveness_readiness_startup_probes|k8s_liveness_readiness_startup_probes,k8s_liveness_readiness_startup_probes|k8s_liveness_readiness_startup_probes|k8s_liveness_readiness_startup_probes|k8s_liveness_readiness_startup_probes|k8s_liveness_readiness_startup_probes|k8s_liveness_readiness_startup_probes|k8s_liveness_readiness_startup_probes|k8s_debug_running_pod|k8s_liveness_readiness_startup_probes|k8s_liveness_readiness_startup_probes,k8s_liveness_readiness_startup_probes::0019|k8s_liveness_readiness_startup_probes::0017|k8s_liveness_readiness_startup_probes::0018|k8s_liveness_readiness_startup_probes::0000|k8s_liveness_readiness_startup_probes::0012,0.567991|0.646555|0.661788|0.765948|0.799367,k8s_liveness_readiness_startup_probes:1,1,1,1,1,1,1,1,1,1,1.0,1.042478,accept,TA,1,4,0.8,5,1.0
frozen_final,eval_043,An operator needs to compare sensitive credentials with ordinary runtime configuration in Kubernetes. Which documents are both relevant?,multi,multi-document,k8s_configmaps,k8s_secrets,k8s_configmaps|k8s_secrets,5,k8s_secrets,k8s_secrets,k8s_secrets,k8s_secrets,k8s_secrets,0.8407787084579468,k8s_secrets|k8s_secrets|k8s_secrets,k8s_secrets|k8s_secrets|k8s_secrets|k8s_secrets|k8s_secrets,k8s_secrets|k8s_secrets|k8s_secrets|k8s_secrets|k8s_secrets|k8s_secrets|k8s_secrets|k8s_secrets|k8s_secrets|k8s_secrets,k8s_secrets::0035|k8s_secrets::0019|k8s_secrets::0002|k8s_secrets::0000|k8s_secrets::0037,0.840779|0.909867|0.917279|0.929505|0.944370,k8s_configmaps:OUT|k8s_secrets:1,1,1,1,1,1,1,0,0,0,1.0,1.042478,accept,TA,1,4,0.8,5,1.0
frozen_final,eval_044,An EKS administrator can authenticate but receives permission failures when using cluster APIs. Which AWS document should be retrieved?,single,single-troubleshooting,aws_eks_iam_troubleshooting,,aws_eks_iam_troubleshooting,5,aws_eks_iam_troubleshooting,aws_eks_iam_troubleshooting,aws_eks_iam_troubleshooting,aws_eks_iam_troubleshooting,aws_eks_auto_mode_troubleshooting,0.7177435159683228,aws_eks_iam_troubleshooting|aws_eks_iam_troubleshooting|aws_eks_iam_troubleshooting,aws_eks_iam_troubleshooting|aws_eks_iam_troubleshooting|aws_eks_iam_troubleshooting|aws_eks_iam_troubleshooting|aws_eks_auto_mode_troubleshooting,aws_eks_iam_troubleshooting|aws_eks_iam_troubleshooting|aws_eks_iam_troubleshooting|aws_eks_iam_troubleshooting|aws_eks_auto_mode_troubleshooting|aws_eks_auto_mode_troubleshooting|aws_eks_auto_mode_troubleshooting|aws_eks_iam_troubleshooting|aws_eks_auto_mode_troubleshooting|aws_eks_auto_mode_troubleshooting,aws_eks_iam_troubleshooting::0000|aws_eks_iam_troubleshooting::0001|aws_eks_iam_troubleshooting::0004|aws_eks_iam_troubleshooting::0002|aws_eks_auto_mode_troubleshooting::0029,0.717744|0.728284|0.840630|0.849675|0.880567,aws_eks_iam_troubleshooting:1,1,1,1,1,1,1,1,1,1,1.0,1.042478,accept,TA,2,3,0.6,4,0.8
frozen_final,eval_045,A load balanced application has failing targets and the Auto Scaling group may react to load balancer health. Which documents should be retrieved together?,multi,multi-document,aws_alb_troubleshooting,aws_ec2_autoscaling_health_checks,aws_alb_troubleshooting|aws_ec2_autoscaling_health_checks,5,aws_ec2_autoscaling_unhealthy_instances,aws_alb_troubleshooting,aws_alb_troubleshooting,aws_alb_monitoring,aws_alb_troubleshooting,0.7024387121200562,aws_ec2_autoscaling_unhealthy_instances|aws_alb_troubleshooting|aws_alb_troubleshooting,aws_ec2_autoscaling_unhealthy_instances|aws_alb_troubleshooting|aws_alb_troubleshooting|aws_alb_monitoring|aws_alb_troubleshooting,aws_ec2_autoscaling_unhealthy_instances|aws_alb_troubleshooting|aws_alb_troubleshooting|aws_alb_monitoring|aws_alb_troubleshooting|aws_alb_troubleshooting|aws_ec2_autoscaling_unhealthy_instances|aws_alb_troubleshooting|aws_ec2_autoscaling_unhealthy_instances|aws_ec2_autoscaling_health_checks,aws_ec2_autoscaling_unhealthy_instances::0009|aws_alb_troubleshooting::0033|aws_alb_troubleshooting::0036|aws_alb_monitoring::0000|aws_alb_troubleshooting::0001,0.702439|0.713780|0.731717|0.793219|0.794500,aws_alb_troubleshooting:2|aws_ec2_autoscaling_health_checks:10,0,1,1,0,1,1,0,0,0,0.5,1.042478,accept,TA,3,2,0.4,3,0.6
frozen_final,eval_046,A database endpoint refuses connections and the team needs to rule out VPC path problems. Which two AWS documents are relevant?,multi,multi-document,aws_rds_troubleshooting,aws_vpc_reachability_analyzer,aws_rds_troubleshooting|aws_vpc_reachability_analyzer,5,aws_rds_troubleshooting,aws_rds_troubleshooting,aws_eks_auto_mode_troubleshooting,aws_rds_troubleshooting,aws_rds_troubleshooting,0.8953067064285278,aws_rds_troubleshooting|aws_rds_troubleshooting|aws_eks_auto_mode_troubleshooting,aws_rds_troubleshooting|aws_rds_troubleshooting|aws_eks_auto_mode_troubleshooting|aws_rds_troubleshooting|aws_rds_troubleshooting,aws_rds_troubleshooting|aws_rds_troubleshooting|aws_eks_auto_mode_troubleshooting|aws_rds_troubleshooting|aws_rds_troubleshooting|aws_rds_troubleshooting|aws_rds_troubleshooting|aws_rds_troubleshooting|aws_rds_troubleshooting|aws_rds_troubleshooting,aws_rds_troubleshooting::0008|aws_rds_troubleshooting::0019|aws_eks_auto_mode_troubleshooting::0021|aws_rds_troubleshooting::0012|aws_rds_troubleshooting::0003,0.895307|0.936313|0.942164|0.955987|0.956972,aws_rds_troubleshooting:1|aws_vpc_reachability_analyzer:OUT,1,1,1,1,1,1,0,0,0,1.0,1.042478,accept,TA,2,3,0.6,4,0.8
frozen_final,eval_047,A team needs CloudWatch metrics and access logs for an Application Load Balancer before debugging backend code. Which document should be retrieved?,single,contextual,aws_alb_monitoring,,aws_alb_monitoring,5,aws_alb_monitoring,aws_alb_monitoring,aws_alb_monitoring,aws_alb_troubleshooting,aws_alb_troubleshooting,0.6925051212310791,aws_alb_monitoring|aws_alb_monitoring|aws_alb_monitoring,aws_alb_monitoring|aws_alb_monitoring|aws_alb_monitoring|aws_alb_troubleshooting|aws_alb_troubleshooting,aws_alb_monitoring|aws_alb_monitoring|aws_alb_monitoring|aws_alb_troubleshooting|aws_alb_troubleshooting|aws_alb_troubleshooting|aws_alb_troubleshooting|aws_alb_troubleshooting|aws_alb_troubleshooting|aws_alb_troubleshooting,aws_alb_monitoring::0001|aws_alb_monitoring::0000|aws_alb_monitoring::0002|aws_alb_troubleshooting::0000|aws_alb_troubleshooting::0036,0.692505|0.696372|0.782670|0.896345|0.931566,aws_alb_monitoring:1,1,1,1,1,1,1,1,1,1,1.0,1.042478,accept,TA,2,3,0.6,3,0.6
frozen_final,eval_048,A Kubernetes cluster has symptoms across logs metrics and events and the operator wants a high level observability source. Which document applies?,single,single-conceptual,k8s_observability,,k8s_observability,5,k8s_observability,k8s_observability,k8s_observability,k8s_observability,k8s_logging_architecture,0.5963195562362671,k8s_observability|k8s_observability|k8s_observability,k8s_observability|k8s_observability|k8s_observability|k8s_observability|k8s_logging_architecture,k8s_observability|k8s_observability|k8s_observability|k8s_observability|k8s_logging_architecture|k8s_observability|k8s_observability|k8s_observability|k8s_logging_architecture|k8s_logging_architecture,k8s_observability::0000|k8s_observability::0004|k8s_observability::0002|k8s_observability::0006|k8s_logging_architecture::0022,0.596320|0.768310|0.812739|0.815003|0.857721,k8s_observability:1,1,1,1,1,1,1,1,1,1,1.0,1.042478,accept,TA,2,3,0.6,4,0.8
frozen_final,eval_049,How do I configure GitHub Actions to deploy a static React site to Pages?,out_of_scope,out-of-scope,NONE,,,5,k8s_debug_running_pod,k8s_horizontal_pod_autoscaling,k8s_horizontal_pod_autoscaling,k8s_horizontal_pod_autoscaling,k8s_configmaps,1.365971565246582,k8s_debug_running_pod|k8s_horizontal_pod_autoscaling|k8s_horizontal_pod_autoscaling,k8s_debug_running_pod|k8s_horizontal_pod_autoscaling|k8s_horizontal_pod_autoscaling|k8s_horizontal_pod_autoscaling|k8s_configmaps,k8s_debug_running_pod|k8s_horizontal_pod_autoscaling|k8s_horizontal_pod_autoscaling|k8s_horizontal_pod_autoscaling|k8s_configmaps|k8s_horizontal_pod_autoscaling|k8s_logging_architecture|k8s_resource_management|k8s_horizontal_pod_autoscaling|k8s_debug_running_pod,k8s_debug_running_pod::0000|k8s_horizontal_pod_autoscaling::0036|k8s_horizontal_pod_autoscaling::0037|k8s_horizontal_pod_autoscaling::0033|k8s_configmaps::0017,1.365972|1.373361|1.438315|1.467030|1.468673,,,,,,,,,,,,1.042478,reject,TR,3,2,0.4,3,0.6
frozen_final,eval_050,What is the best laptop to buy for running local LLMs this year?,out_of_scope,out-of-scope,NONE,,,5,aws_alb_troubleshooting,aws_alb_troubleshooting,k8s_debug_services,aws_alb_troubleshooting,aws_alb_troubleshooting,1.5497709512710571,aws_alb_troubleshooting|aws_alb_troubleshooting|k8s_debug_services,aws_alb_troubleshooting|aws_alb_troubleshooting|k8s_debug_services|aws_alb_troubleshooting|aws_alb_troubleshooting,aws_alb_troubleshooting|aws_alb_troubleshooting|k8s_debug_services|aws_alb_troubleshooting|aws_alb_troubleshooting|aws_alb_troubleshooting|aws_alb_troubleshooting|aws_rds_troubleshooting|aws_rds_troubleshooting|aws_ec2_autoscaling_health_checks,aws_alb_troubleshooting::0037|aws_alb_troubleshooting::0039|k8s_debug_services::0009|aws_alb_troubleshooting::0040|aws_alb_troubleshooting::0006,1.549771|1.551841|1.555401|1.579983|1.582053,,,,,,,,,,,,1.042478,reject,TR,2,3,0.6,4,0.8
