variant,id,question,ground_truth_type,question_type,provider,expected_documents,expected_document_1,expected_document_2,retrieved_doc_ids,retrieved_chunk_ids,retrieved_scores,top_1_doc_id,top_3_doc_ids,top_5_doc_ids,reciprocal_rank,retrieval_latency_ms,retrieved_chunk_count,unique_doc_count,duplicate_chunk_count,duplicate_ratio,max_same_document_occupancy,context_character_count,approximate_token_count,hit_at_1,hit_at_3,hit_at_5,any_hit_at_1,any_hit_at_3,any_hit_at_5,all_hit_at_1,all_hit_at_3,all_hit_at_5
baseline,divval_001,A Pod never starts after deployment and there are no application logs yet. Which Kubernetes evidence should I inspect first to understand why it is still waiting?,single,single-troubleshooting,kubernetes,k8s_debug_pods,k8s_debug_pods,,k8s_debug_running_pod|k8s_debug_pods|k8s_liveness_readiness_startup_probes|k8s_debug_pods|k8s_debug_running_pod,k8s_debug_running_pod::0009|k8s_debug_pods::0000|k8s_liveness_readiness_startup_probes::0003|k8s_debug_pods::0003|k8s_debug_running_pod::0002,0.745328|0.809111|0.841905|0.88672|0.896426,k8s_debug_running_pod,k8s_debug_running_pod|k8s_debug_pods|k8s_liveness_readiness_startup_probes,k8s_debug_running_pod|k8s_debug_pods|k8s_liveness_readiness_startup_probes|k8s_debug_pods|k8s_debug_running_pod,0.5,4796.727,5,3,2,0.4,2,5118,1280,0,1,1,0,1,1,0,1,1
cap2,divval_001,A Pod never starts after deployment and there are no application logs yet. Which Kubernetes evidence should I inspect first to understand why it is still waiting?,single,single-troubleshooting,kubernetes,k8s_debug_pods,k8s_debug_pods,,k8s_debug_running_pod|k8s_debug_pods|k8s_liveness_readiness_startup_probes|k8s_debug_pods|k8s_debug_running_pod,k8s_debug_running_pod::0009|k8s_debug_pods::0000|k8s_liveness_readiness_startup_probes::0003|k8s_debug_pods::0003|k8s_debug_running_pod::0002,0.745328|0.809111|0.841905|0.88672|0.896426,k8s_debug_running_pod,k8s_debug_running_pod|k8s_debug_pods|k8s_liveness_readiness_startup_probes,k8s_debug_running_pod|k8s_debug_pods|k8s_liveness_readiness_startup_probes|k8s_debug_pods|k8s_debug_running_pod,0.5,4796.744,5,3,2,0.4,2,5118,1280,0,1,1,0,1,1,0,1,1
baseline,divval_002,"A container is marked Running, but I need to confirm what process is active and whether the app is listening inside the Pod. Which troubleshooting guidance is the primary source?",single,single-troubleshooting,kubernetes,k8s_debug_running_pod,k8s_debug_running_pod,,k8s_debug_pods|k8s_troubleshooting_applications|k8s_debug_running_pod|k8s_debug_running_pod|k8s_debug_running_pod,k8s_debug_pods::0000|k8s_troubleshooting_applications::0000|k8s_debug_running_pod::0029|k8s_debug_running_pod::0028|k8s_debug_running_pod::0007,0.773592|0.800913|0.858649|0.864606|0.866733,k8s_debug_pods,k8s_debug_pods|k8s_troubleshooting_applications|k8s_debug_running_pod,k8s_debug_pods|k8s_troubleshooting_applications|k8s_debug_running_pod|k8s_debug_running_pod|k8s_debug_running_pod,0.3333333333333333,220.578,5,3,2,0.4,3,4669,1167,0,1,1,0,1,1,0,1,1
cap2,divval_002,"A container is marked Running, but I need to confirm what process is active and whether the app is listening inside the Pod. Which troubleshooting guidance is the primary source?",single,single-troubleshooting,kubernetes,k8s_debug_running_pod,k8s_debug_running_pod,,k8s_debug_pods|k8s_troubleshooting_applications|k8s_debug_running_pod|k8s_debug_running_pod|k8s_debug_services,k8s_debug_pods::0000|k8s_troubleshooting_applications::0000|k8s_debug_running_pod::0029|k8s_debug_running_pod::0028|k8s_debug_services::0000,0.773592|0.800913|0.858649|0.864606|0.883363,k8s_debug_pods,k8s_debug_pods|k8s_troubleshooting_applications|k8s_debug_running_pod,k8s_debug_pods|k8s_troubleshooting_applications|k8s_debug_running_pod|k8s_debug_running_pod|k8s_debug_services,0.3333333333333333,220.604,5,4,1,0.2,2,4670,1168,0,1,1,0,1,1,0,1,1
baseline,divval_003,"A Service object exists and has the selector I expected, but traffic still does not reach the backend Pods. What Kubernetes troubleshooting area should guide the next checks?",single,single-troubleshooting,kubernetes,k8s_debug_services,k8s_debug_services,,k8s_debug_pods|k8s_debug_services|k8s_debug_services|k8s_debug_services|k8s_debug_services,k8s_debug_pods::0009|k8s_debug_services::0014|k8s_debug_services::0015|k8s_debug_services::0013|k8s_debug_services::0017,0.623408|0.813625|0.831513|0.838022|0.854667,k8s_debug_pods,k8s_debug_pods|k8s_debug_services|k8s_debug_services,k8s_debug_pods|k8s_debug_services|k8s_debug_services|k8s_debug_services|k8s_debug_services,0.5,136.249,5,2,3,0.6,4,5036,1259,0,1,1,0,1,1,0,1,1
cap2,divval_003,"A Service object exists and has the selector I expected, but traffic still does not reach the backend Pods. What Kubernetes troubleshooting area should guide the next checks?",single,single-troubleshooting,kubernetes,k8s_debug_services,k8s_debug_services,,k8s_debug_pods|k8s_debug_services|k8s_debug_services|k8s_debug_pods,k8s_debug_pods::0009|k8s_debug_services::0014|k8s_debug_services::0015|k8s_debug_pods::0007,0.623408|0.813625|0.831513|0.89693,k8s_debug_pods,k8s_debug_pods|k8s_debug_services|k8s_debug_services,k8s_debug_pods|k8s_debug_services|k8s_debug_services|k8s_debug_pods,0.5,136.276,4,2,2,0.5,2,4013,1003,0,1,1,0,1,1,0,1,1
baseline,divval_004,An application takes a long time to boot and Kubernetes restarts it before it can become ready. Which probe configuration should I compare before changing restart behavior?,single,similar-concept-discrimination,kubernetes,k8s_liveness_readiness_startup_probes,k8s_liveness_readiness_startup_probes,,k8s_liveness_readiness_startup_probes|k8s_liveness_readiness_startup_probes|k8s_liveness_readiness_startup_probes|k8s_debug_running_pod|k8s_liveness_readiness_startup_probes,k8s_liveness_readiness_startup_probes::0017|k8s_liveness_readiness_startup_probes::0019|k8s_liveness_readiness_startup_probes::0000|k8s_debug_running_pod::0007|k8s_liveness_readiness_startup_probes::0006,0.691303|0.753296|0.791001|0.830443|0.841591,k8s_liveness_readiness_startup_probes,k8s_liveness_readiness_startup_probes|k8s_liveness_readiness_startup_probes|k8s_liveness_readiness_startup_probes,k8s_liveness_readiness_startup_probes|k8s_liveness_readiness_startup_probes|k8s_liveness_readiness_startup_probes|k8s_debug_running_pod|k8s_liveness_readiness_startup_probes,1.0,2012.114,5,2,3,0.6,4,4622,1156,1,1,1,1,1,1,1,1,1
cap2,divval_004,An application takes a long time to boot and Kubernetes restarts it before it can become ready. Which probe configuration should I compare before changing restart behavior?,single,similar-concept-discrimination,kubernetes,k8s_liveness_readiness_startup_probes,k8s_liveness_readiness_startup_probes,,k8s_liveness_readiness_startup_probes|k8s_liveness_readiness_startup_probes|k8s_debug_running_pod|k8s_horizontal_pod_autoscaling|k8s_debug_pods,k8s_liveness_readiness_startup_probes::0017|k8s_liveness_readiness_startup_probes::0019|k8s_debug_running_pod::0007|k8s_horizontal_pod_autoscaling::0014|k8s_debug_pods::0000,0.691303|0.753296|0.830443|0.957111|1.024603,k8s_liveness_readiness_startup_probes,k8s_liveness_readiness_startup_probes|k8s_liveness_readiness_startup_probes|k8s_debug_running_pod,k8s_liveness_readiness_startup_probes|k8s_liveness_readiness_startup_probes|k8s_debug_running_pod|k8s_horizontal_pod_autoscaling|k8s_debug_pods,1.0,2012.145,5,4,1,0.2,2,4622,1156,1,1,1,1,1,1,1,1,1
baseline,divval_005,I need to store both a non-sensitive feature flag and a database password for Pods. Which Kubernetes documents should I use to separate these concerns correctly?,multi,similar-concept-discrimination,kubernetes,k8s_configmaps|k8s_secrets,k8s_configmaps,k8s_secrets,k8s_secrets|k8s_secrets|k8s_secrets|k8s_secrets|k8s_secrets,k8s_secrets::0002|k8s_secrets::0000|k8s_secrets::0003|k8s_secrets::0037|k8s_secrets::0012,0.775112|0.876325|0.918908|0.924129|0.955634,k8s_secrets,k8s_secrets|k8s_secrets|k8s_secrets,k8s_secrets|k8s_secrets|k8s_secrets|k8s_secrets|k8s_secrets,1.0,140.989,5,1,4,0.8,5,4873,1218,1,1,1,1,1,1,0,0,0
cap2,divval_005,I need to store both a non-sensitive feature flag and a database password for Pods. Which Kubernetes documents should I use to separate these concerns correctly?,multi,similar-concept-discrimination,kubernetes,k8s_configmaps|k8s_secrets,k8s_configmaps,k8s_secrets,k8s_secrets|k8s_secrets|k8s_debug_running_pod|k8s_resource_management|aws_eks_auto_mode_troubleshooting,k8s_secrets::0002|k8s_secrets::0000|k8s_debug_running_pod::0038|k8s_resource_management::0020|aws_eks_auto_mode_troubleshooting::0024,0.775112|0.876325|1.063915|1.067402|1.079632,k8s_secrets,k8s_secrets|k8s_secrets|k8s_debug_running_pod,k8s_secrets|k8s_secrets|k8s_debug_running_pod|k8s_resource_management|aws_eks_auto_mode_troubleshooting,1.0,141.015,5,4,1,0.2,2,5118,1280,1,1,1,1,1,1,0,0,0
