id,question,ground_truth_type,question_type,expected_documents,top_5_doc_ids,unique_doc_count,duplicate_chunk_count,duplicate_ratio,max_same_doc_occupancy,max_same_doc_occupancy_ratio
eval_041,A newly created Pod never leaves Pending and the scheduler appears unable to place it on a node. Which document should be retrieved?,single,single-troubleshooting,k8s_debug_pods,k8s_debug_pods|k8s_debug_pods|k8s_resource_management|k8s_debug_running_pod|k8s_debug_running_pod,3,2,0.4,2,0.4
eval_042,A container accepts traffic too early and fails user requests during startup. Which Kubernetes probe guidance is most relevant?,single,contextual,k8s_liveness_readiness_startup_probes,k8s_liveness_readiness_startup_probes|k8s_liveness_readiness_startup_probes|k8s_liveness_readiness_startup_probes|k8s_liveness_readiness_startup_probes|k8s_liveness_readiness_startup_probes,1,4,0.8,5,1.0
eval_043,An operator needs to compare sensitive credentials with ordinary runtime configuration in Kubernetes. Which documents are both relevant?,multi,multi-document,k8s_configmaps|k8s_secrets,k8s_secrets|k8s_secrets|k8s_secrets|k8s_secrets|k8s_secrets,1,4,0.8,5,1.0
eval_044,An EKS administrator can authenticate but receives permission failures when using cluster APIs. Which AWS document should be retrieved?,single,single-troubleshooting,aws_eks_iam_troubleshooting,aws_eks_iam_troubleshooting|aws_eks_iam_troubleshooting|aws_eks_iam_troubleshooting|aws_eks_iam_troubleshooting|aws_eks_auto_mode_troubleshooting,2,3,0.6,4,0.8
eval_045,A load balanced application has failing targets and the Auto Scaling group may react to load balancer health. Which documents should be retrieved together?,multi,multi-document,aws_alb_troubleshooting|aws_ec2_autoscaling_health_checks,aws_ec2_autoscaling_unhealthy_instances|aws_alb_troubleshooting|aws_alb_troubleshooting|aws_alb_monitoring|aws_alb_troubleshooting,3,2,0.4,3,0.6
eval_046,A database endpoint refuses connections and the team needs to rule out VPC path problems. Which two AWS documents are relevant?,multi,multi-document,aws_rds_troubleshooting|aws_vpc_reachability_analyzer,aws_rds_troubleshooting|aws_rds_troubleshooting|aws_eks_auto_mode_troubleshooting|aws_rds_troubleshooting|aws_rds_troubleshooting,2,3,0.6,4,0.8
eval_047,A team needs CloudWatch metrics and access logs for an Application Load Balancer before debugging backend code. Which document should be retrieved?,single,contextual,aws_alb_monitoring,aws_alb_monitoring|aws_alb_monitoring|aws_alb_monitoring|aws_alb_troubleshooting|aws_alb_troubleshooting,2,3,0.6,3,0.6
eval_048,A Kubernetes cluster has symptoms across logs metrics and events and the operator wants a high level observability source. Which document applies?,single,single-conceptual,k8s_observability,k8s_observability|k8s_observability|k8s_observability|k8s_observability|k8s_logging_architecture,2,3,0.6,4,0.8
eval_049,How do I configure GitHub Actions to deploy a static React site to Pages?,out_of_scope,out-of-scope,,k8s_debug_running_pod|k8s_horizontal_pod_autoscaling|k8s_horizontal_pod_autoscaling|k8s_horizontal_pod_autoscaling|k8s_configmaps,3,2,0.4,3,0.6
eval_050,What is the best laptop to buy for running local LLMs this year?,out_of_scope,out-of-scope,,aws_alb_troubleshooting|aws_alb_troubleshooting|k8s_debug_services|aws_alb_troubleshooting|aws_alb_troubleshooting,2,3,0.6,4,0.8
