id,question,expected_document_1,expected_document_2,ground_truth_type,question_type,expected_answer_summary,usage
eval_001,"A Kubernetes Pod stays Pending after deployment and no container logs exist yet. What should I inspect first?",k8s_debug_pods,,single,single-troubleshooting,"Use Pod debugging steps such as describe output events scheduling status and resource related messages.",dev
eval_002,"A Pod is Running but the application is not responding on its expected port. What diagnostic path should I start with?",k8s_debug_running_pod,,single,single-troubleshooting,"Use running Pod debugging actions including logs exec and container level inspection.",dev
eval_003,"A Service has a ClusterIP but requests do not reach any backend Pods. What Kubernetes troubleshooting document should guide the investigation?",k8s_debug_services,,single,single-troubleshooting,"Inspect Service selectors endpoints EndpointSlices DNS and connectivity from clients to backing Pods.",dev
eval_004,"Several Pods restart only after the application becomes unresponsive for a while. Which probe behavior should be reviewed?",k8s_liveness_readiness_startup_probes,,single,single-troubleshooting,"Review liveness readiness and startup probe configuration and how failed probes affect restarts and readiness.",dev
eval_005,"CPU usage rises during traffic spikes but replica count does not increase. Which Kubernetes autoscaling document is the primary source?",k8s_horizontal_pod_autoscaling,,single,single-troubleshooting,"Review HPA metric observation desired replica calculation and scaling behavior.",dev
eval_006,"A container is killed when memory usage grows beyond its configured boundary. Which document explains the relevant Kubernetes resource settings?",k8s_resource_management,,single,single-troubleshooting,"Use resource management guidance for CPU and memory requests limits and behavior when limits are exceeded.",dev
eval_007,"An application should receive environment specific non-secret settings without rebuilding its image. Which Kubernetes object is relevant?",k8s_configmaps,,single,single-conceptual,"Use ConfigMaps to decouple non-confidential configuration from container images and workload specs.",dev
eval_008,"A Pod needs a database password without placing it directly in the image or normal config file. Which Kubernetes object should be used?",k8s_secrets,,single,single-conceptual,"Use Secrets for sensitive data such as credentials and understand how Pods consume secret values.",dev
eval_009,"After a container restarts I need to understand where Kubernetes expects application logs to come from. Which document is relevant?",k8s_logging_architecture,,single,contextual,"Use logging architecture concepts for stdout stderr node logs and cluster-level log collection.",dev
eval_010,"I need a broad view of what signals Kubernetes exposes for operating a cluster. Which document should be retrieved?",k8s_observability,,single,single-conceptual,"Use Kubernetes observability documentation for logs metrics events traces and related operational signals.",dev
eval_011,"EKS Auto Mode is not behaving as expected after cluster configuration changes. Which AWS troubleshooting guide should I consult?",aws_eks_auto_mode_troubleshooting,,single,single-troubleshooting,"Use the EKS Auto Mode troubleshooting guide for Auto Mode specific operational issues.",dev
eval_012,"An EKS user receives an authorization error while trying to access cluster resources. Which document should be the primary source?",aws_eks_iam_troubleshooting,,single,single-troubleshooting,"Use EKS IAM troubleshooting for permission and identity related cluster access issues.",dev
eval_013,"An Auto Scaling group replaces instances and I need to understand which health checks can trigger that behavior. Which document explains this?",aws_ec2_autoscaling_health_checks,,single,discrimination,"Review EC2 Auto Scaling health check types including EC2 ELB VPC Lattice EBS and custom checks.",dev
eval_014,"An Auto Scaling activity says an instance was taken out of service because a health check failed. Which troubleshooting document should be retrieved?",aws_ec2_autoscaling_unhealthy_instances,,single,single-troubleshooting,"Use unhealthy instance troubleshooting to connect Auto Scaling messages with causes and remedies.",dev
