experiment_id,chunk_size,chunk_overlap,chunk_count,id,question,ground_truth_type,question_type,expected_document_1,expected_document_2,retrieved_rank_1_doc_id,retrieved_rank_2_doc_id,retrieved_rank_3_doc_id,retrieved_rank_1_score,retrieved_rank_2_score,retrieved_rank_3_score,hit_at_1,hit_at_3,any_hit_at_1,any_hit_at_3,all_hit_at_3,reciprocal_rank,retrieval_latency_ms
chunk_256_0,256,0,1669,eval_002,A Pod is Running but the application is not responding on its expected port. What diagnostic path should I start with?,single,single-troubleshooting,k8s_debug_running_pod,,k8s_debug_services,k8s_debug_pods,k8s_debug_pods,0.8095099925994873,0.8254423141479492,0.8368484973907471,0,0,0,0,0,0.2,130.434
chunk_256_0,256,0,1669,eval_007,An application should receive environment specific non-secret settings without rebuilding its image. Which Kubernetes object is relevant?,single,single-conceptual,k8s_configmaps,,k8s_secrets,k8s_secrets,k8s_secrets,0.9046501517295837,0.9054773449897766,0.9069103598594666,0,0,0,0,0,0.14285714285714285,158.979
chunk_256_0,256,0,1669,eval_019,I need to check whether a network path inside a VPC can reach a destination before changing security groups. Which AWS tool document applies?,single,single-conceptual,aws_vpc_reachability_analyzer,,aws_eks_auto_mode_troubleshooting,aws_alb_troubleshooting,aws_alb_troubleshooting,0.8299347758293152,0.8824000358581543,0.9404797554016113,0,0,0,0,0,0.2,140.718
chunk_256_0,256,0,1669,eval_021,A Service shows no ready backends after a rollout and the Pods report readiness probe failures. Which two documents should be used together?,multi,multi-document,k8s_liveness_readiness_startup_probes,k8s_debug_services,k8s_horizontal_pod_autoscaling,k8s_debug_pods,k8s_liveness_readiness_startup_probes,0.8009881377220154,0.8348841667175293,0.8401010036468506,0,1,0,1,0,0.3333333333333333,120.565
chunk_256_0,256,0,1669,eval_023,An ALB target is unhealthy and the Auto Scaling group is replacing instances. Which documents together explain the load balancer and replacement sides?,multi,multi-document,aws_alb_troubleshooting,aws_ec2_autoscaling_health_checks,aws_ec2_autoscaling_health_checks,aws_ec2_autoscaling_health_checks,aws_ec2_autoscaling_health_checks,0.729791522026062,0.8096685409545898,0.8224757313728333,1,1,1,1,0,1.0,135.183
chunk_256_0,256,0,1669,eval_024,An RDS connection issue may be caused by network reachability rather than database state. Which documents should be paired?,multi,multi-document,aws_rds_troubleshooting,aws_vpc_reachability_analyzer,aws_rds_troubleshooting,aws_rds_troubleshooting,aws_rds_troubleshooting,0.856550931930542,0.907899022102356,0.9173141717910767,1,1,1,1,0,1.0,122.316
chunk_256_0,256,0,1669,eval_027,Should application feature flags be stored in a Secret just because they affect runtime behavior?,single,discrimination,k8s_configmaps,,k8s_secrets,k8s_secrets,k8s_secrets,0.8991351127624512,0.969548225402832,0.9740281701087952,0,0,0,0,0,0.14285714285714285,125.879
chunk_256_64,256,64,2217,eval_002,A Pod is Running but the application is not responding on its expected port. What diagnostic path should I start with?,single,single-troubleshooting,k8s_debug_running_pod,,k8s_debug_pods,k8s_debug_services,k8s_debug_services,0.7694240808486938,0.8425723910331726,0.8494119644165039,0,0,0,0,0,0.16666666666666666,138.444
chunk_256_64,256,64,2217,eval_007,An application should receive environment specific non-secret settings without rebuilding its image. Which Kubernetes object is relevant?,single,single-conceptual,k8s_configmaps,,k8s_secrets,k8s_secrets,k8s_secrets,0.8913673162460327,0.9046501517295837,0.928338885307312,0,0,0,0,0,0.14285714285714285,177.256
chunk_256_64,256,64,2217,eval_019,I need to check whether a network path inside a VPC can reach a destination before changing security groups. Which AWS tool document applies?,single,single-conceptual,aws_vpc_reachability_analyzer,,aws_eks_auto_mode_troubleshooting,aws_rds_troubleshooting,aws_alb_troubleshooting,0.7957841157913208,0.9138599038124084,0.9227182865142822,0,0,0,0,0,0.2,138.723
chunk_256_64,256,64,2217,eval_021,A Service shows no ready backends after a rollout and the Pods report readiness probe failures. Which two documents should be used together?,multi,multi-document,k8s_liveness_readiness_startup_probes,k8s_debug_services,k8s_horizontal_pod_autoscaling,k8s_liveness_readiness_startup_probes,k8s_debug_pods,0.8007873892784119,0.8333227634429932,0.8349745869636536,0,1,0,1,0,0.5,135.334
chunk_256_64,256,64,2217,eval_023,An ALB target is unhealthy and the Auto Scaling group is replacing instances. Which documents together explain the load balancer and replacement sides?,multi,multi-document,aws_alb_troubleshooting,aws_ec2_autoscaling_health_checks,aws_ec2_autoscaling_health_checks,aws_ec2_autoscaling_health_checks,aws_ec2_autoscaling_health_checks,0.7319598197937012,0.7582110166549683,0.7828075289726257,1,1,1,1,0,1.0,141.109
chunk_256_64,256,64,2217,eval_024,An RDS connection issue may be caused by network reachability rather than database state. Which documents should be paired?,multi,multi-document,aws_rds_troubleshooting,aws_vpc_reachability_analyzer,aws_rds_troubleshooting,aws_rds_troubleshooting,aws_rds_troubleshooting,0.7886207103729248,0.8978716135025024,0.8984718918800354,1,1,1,1,0,1.0,135.284
chunk_256_64,256,64,2217,eval_027,Should application feature flags be stored in a Secret just because they affect runtime behavior?,single,discrimination,k8s_configmaps,,k8s_secrets,k8s_secrets,k8s_secrets,0.9117976427078247,0.9695212841033936,0.9765734672546387,0,0,0,0,0,0.0,179.213
chunk_512_0,512,0,841,eval_002,A Pod is Running but the application is not responding on its expected port. What diagnostic path should I start with?,single,single-troubleshooting,k8s_debug_running_pod,,k8s_liveness_readiness_startup_probes,k8s_debug_pods,k8s_debug_pods,0.8658267259597778,0.8860969543457031,0.8896458148956299,0,0,0,0,0,0.25,130.428
chunk_512_0,512,0,841,eval_007,An application should receive environment specific non-secret settings without rebuilding its image. Which Kubernetes object is relevant?,single,single-conceptual,k8s_configmaps,,k8s_secrets,k8s_secrets,k8s_secrets,0.8440338969230652,0.9009698033332825,0.9155988097190857,0,0,0,0,0,0.25,126.062
chunk_512_0,512,0,841,eval_019,I need to check whether a network path inside a VPC can reach a destination before changing security groups. Which AWS tool document applies?,single,single-conceptual,aws_vpc_reachability_analyzer,,aws_eks_auto_mode_troubleshooting,aws_rds_troubleshooting,aws_alb_troubleshooting,0.8699290752410889,0.9727829098701477,0.9796976447105408,0,0,0,0,0,0.14285714285714285,133.141
chunk_512_0,512,0,841,eval_021,A Service shows no ready backends after a rollout and the Pods report readiness probe failures. Which two documents should be used together?,multi,multi-document,k8s_liveness_readiness_startup_probes,k8s_debug_services,k8s_liveness_readiness_startup_probes,k8s_liveness_readiness_startup_probes,k8s_horizontal_pod_autoscaling,0.8556782603263855,0.8634816408157349,0.873501181602478,1,1,1,1,0,1.0,141.493
chunk_512_0,512,0,841,eval_023,An ALB target is unhealthy and the Auto Scaling group is replacing instances. Which documents together explain the load balancer and replacement sides?,multi,multi-document,aws_alb_troubleshooting,aws_ec2_autoscaling_health_checks,aws_ec2_autoscaling_unhealthy_instances,aws_ec2_autoscaling_health_checks,aws_ec2_autoscaling_health_checks,0.7770067453384399,0.7861384749412537,0.8015735149383545,0,1,0,1,0,0.5,128.01
chunk_512_0,512,0,841,eval_024,An RDS connection issue may be caused by network reachability rather than database state. Which documents should be paired?,multi,multi-document,aws_rds_troubleshooting,aws_vpc_reachability_analyzer,aws_rds_troubleshooting,aws_rds_troubleshooting,aws_rds_troubleshooting,0.9338729381561279,0.9952167868614197,1.011979341506958,1,1,1,1,0,1.0,120.094
chunk_512_0,512,0,841,eval_027,Should application feature flags be stored in a Secret just because they affect runtime behavior?,single,discrimination,k8s_configmaps,,k8s_secrets,k8s_secrets,k8s_secrets,0.9528266191482544,1.008453607559204,1.064204216003418,0,0,0,0,0,0.0,138.198
chunk_512_64,512,64,957,eval_002,A Pod is Running but the application is not responding on its expected port. What diagnostic path should I start with?,single,single-troubleshooting,k8s_debug_running_pod,,k8s_debug_services,k8s_debug_pods,k8s_debug_pods,0.7807582020759583,0.865666389465332,0.8994436264038086,0,0,0,0,0,0.2,134.06
chunk_512_64,512,64,957,eval_007,An application should receive environment specific non-secret settings without rebuilding its image. Which Kubernetes object is relevant?,single,single-conceptual,k8s_configmaps,,k8s_secrets,k8s_secrets,k8s_secrets,0.8439733982086182,0.8510116338729858,0.9344395399093628,0,0,0,0,0,0.16666666666666666,133.732
chunk_512_64,512,64,957,eval_019,I need to check whether a network path inside a VPC can reach a destination before changing security groups. Which AWS tool document applies?,single,single-conceptual,aws_vpc_reachability_analyzer,,aws_eks_auto_mode_troubleshooting,aws_rds_troubleshooting,aws_rds_troubleshooting,0.8751248121261597,0.985407292842865,0.9908190965652466,0,0,0,0,0,0.16666666666666666,140.064
chunk_512_64,512,64,957,eval_021,A Service shows no ready backends after a rollout and the Pods report readiness probe failures. Which two documents should be used together?,multi,multi-document,k8s_liveness_readiness_startup_probes,k8s_debug_services,k8s_liveness_readiness_startup_probes,k8s_liveness_readiness_startup_probes,k8s_horizontal_pod_autoscaling,0.8742120265960693,0.8809552192687988,0.8908259868621826,1,1,1,1,0,1.0,135.279
chunk_512_64,512,64,957,eval_023,An ALB target is unhealthy and the Auto Scaling group is replacing instances. Which documents together explain the load balancer and replacement sides?,multi,multi-document,aws_alb_troubleshooting,aws_ec2_autoscaling_health_checks,aws_ec2_autoscaling_health_checks,aws_ec2_autoscaling_health_checks,aws_ec2_autoscaling_health_checks,0.7846910953521729,0.7860366702079773,0.7880730032920837,1,1,1,1,0,1.0,128.642
chunk_512_64,512,64,957,eval_024,An RDS connection issue may be caused by network reachability rather than database state. Which documents should be paired?,multi,multi-document,aws_rds_troubleshooting,aws_vpc_reachability_analyzer,aws_rds_troubleshooting,aws_rds_troubleshooting,aws_rds_troubleshooting,0.9074496626853943,0.9338036775588989,0.9434350728988647,1,1,1,1,0,1.0,144.581
chunk_512_64,512,64,957,eval_027,Should application feature flags be stored in a Secret just because they affect runtime behavior?,single,discrimination,k8s_configmaps,,k8s_secrets,k8s_secrets,k8s_secrets,0.9244471788406372,1.00636625289917,1.0084574222564697,0,0,0,0,0,0.0,152.152
chunk_512_128,512,128,1114,eval_002,A Pod is Running but the application is not responding on its expected port. What diagnostic path should I start with?,single,single-troubleshooting,k8s_debug_running_pod,,k8s_debug_services,k8s_debug_services,k8s_debug_pods,0.7802244424819946,0.8608081936836243,0.8653701543807983,0,0,0,0,0,0.14285714285714285,129.535
chunk_512_128,512,128,1114,eval_007,An application should receive environment specific non-secret settings without rebuilding its image. Which Kubernetes object is relevant?,single,single-conceptual,k8s_configmaps,,k8s_secrets,k8s_secrets,k8s_secrets,0.8525890111923218,0.9084231853485107,0.9150340557098389,0,0,0,0,0,0.2,133.713
chunk_512_128,512,128,1114,eval_019,I need to check whether a network path inside a VPC can reach a destination before changing security groups. Which AWS tool document applies?,single,single-conceptual,aws_vpc_reachability_analyzer,,aws_eks_auto_mode_troubleshooting,aws_rds_troubleshooting,aws_rds_troubleshooting,0.8750522136688232,0.9729981422424316,0.985400915145874,0,0,0,0,0,0.16666666666666666,118.995
chunk_512_128,512,128,1114,eval_021,A Service shows no ready backends after a rollout and the Pods report readiness probe failures. Which two documents should be used together?,multi,multi-document,k8s_liveness_readiness_startup_probes,k8s_debug_services,k8s_liveness_readiness_startup_probes,k8s_debug_pods,k8s_horizontal_pod_autoscaling,0.8556782603263855,0.8609436750411987,0.8644788265228271,1,1,1,1,0,1.0,148.605
chunk_512_128,512,128,1114,eval_023,An ALB target is unhealthy and the Auto Scaling group is replacing instances. Which documents together explain the load balancer and replacement sides?,multi,multi-document,aws_alb_troubleshooting,aws_ec2_autoscaling_health_checks,aws_ec2_autoscaling_unhealthy_instances,aws_ec2_autoscaling_health_checks,aws_ec2_autoscaling_health_checks,0.7770495414733887,0.7880730032920837,0.7886367440223694,0,1,0,1,0,0.5,138.533
chunk_512_128,512,128,1114,eval_024,An RDS connection issue may be caused by network reachability rather than database state. Which documents should be paired?,multi,multi-document,aws_rds_troubleshooting,aws_vpc_reachability_analyzer,aws_rds_troubleshooting,aws_rds_troubleshooting,aws_rds_troubleshooting,0.9338729381561279,0.9372957944869995,0.9537369012832642,1,1,1,1,0,1.0,126.411
chunk_512_128,512,128,1114,eval_027,Should application feature flags be stored in a Secret just because they affect runtime behavior?,single,discrimination,k8s_configmaps,,k8s_secrets,k8s_secrets,k8s_secrets,1.00630521774292,1.0071415901184082,1.0084574222564697,0,0,0,0,0,0.0,118.295
chunk_1024_128,1024,128,483,eval_002,A Pod is Running but the application is not responding on its expected port. What diagnostic path should I start with?,single,single-troubleshooting,k8s_debug_running_pod,,k8s_debug_services,k8s_liveness_readiness_startup_probes,k8s_debug_pods,0.8657751083374023,0.8912366628646851,0.8935942649841309,0,0,0,0,0,0.14285714285714285,119.596
chunk_1024_128,1024,128,483,eval_007,An application should receive environment specific non-secret settings without rebuilding its image. Which Kubernetes object is relevant?,single,single-conceptual,k8s_configmaps,,k8s_secrets,k8s_secrets,k8s_secrets,0.8746917247772217,0.8949620723724365,0.9546621441841125,0,0,0,0,0,0.125,178.738
chunk_1024_128,1024,128,483,eval_019,I need to check whether a network path inside a VPC can reach a destination before changing security groups. Which AWS tool document applies?,single,single-conceptual,aws_vpc_reachability_analyzer,,aws_eks_auto_mode_troubleshooting,aws_vpc_reachability_analyzer,aws_ec2_autoscaling_health_checks,0.8569586277008057,0.9402744770050049,0.9978065490722656,0,1,0,1,1,0.5,126.406
chunk_1024_128,1024,128,483,eval_021,A Service shows no ready backends after a rollout and the Pods report readiness probe failures. Which two documents should be used together?,multi,multi-document,k8s_liveness_readiness_startup_probes,k8s_debug_services,k8s_liveness_readiness_startup_probes,k8s_liveness_readiness_startup_probes,k8s_horizontal_pod_autoscaling,0.842468798160553,0.8745039701461792,0.8866538405418396,1,1,1,1,0,1.0,167.448
chunk_1024_128,1024,128,483,eval_023,An ALB target is unhealthy and the Auto Scaling group is replacing instances. Which documents together explain the load balancer and replacement sides?,multi,multi-document,aws_alb_troubleshooting,aws_ec2_autoscaling_health_checks,aws_ec2_autoscaling_unhealthy_instances,aws_ec2_autoscaling_health_checks,aws_ec2_autoscaling_health_checks,0.7922917604446411,0.7978783845901489,0.8193896412849426,0,1,0,1,0,0.5,127.875
chunk_1024_128,1024,128,483,eval_024,An RDS connection issue may be caused by network reachability rather than database state. Which documents should be paired?,multi,multi-document,aws_rds_troubleshooting,aws_vpc_reachability_analyzer,aws_rds_troubleshooting,aws_rds_troubleshooting,aws_rds_troubleshooting,0.9208170771598816,0.9276055693626404,0.9315112829208374,1,1,1,1,0,1.0,135.123
chunk_1024_128,1024,128,483,eval_027,Should application feature flags be stored in a Secret just because they affect runtime behavior?,single,discrimination,k8s_configmaps,,k8s_secrets,k8s_secrets,k8s_secrets,1.0154783725738525,1.0368716716766357,1.040713906288147,0,0,0,0,0,0.0,127.993
