id,question,ground_truth_type,question_type,expected_document_1,expected_document_2,retrieved_rank_1_doc_id,retrieved_rank_2_doc_id,retrieved_rank_3_doc_id,retrieved_rank_1_score,retrieved_rank_2_score,retrieved_rank_3_score,hit_at_1,hit_at_3,any_hit_at_1,any_hit_at_3,all_hit_at_3,reciprocal_rank,retrieval_latency_ms
eval_001,A Kubernetes Pod stays Pending after deployment and no container logs exist yet. What should I inspect first?,single,single-troubleshooting,k8s_debug_pods,,k8s_debug_pods,k8s_debug_running_pod,k8s_liveness_readiness_startup_probes,0.6897088289260864,0.7121870517730713,0.7833351492881775,1,1,1,1,1,1.0,659.991
eval_002,A Pod is Running but the application is not responding on its expected port. What diagnostic path should I start with?,single,single-troubleshooting,k8s_debug_running_pod,,k8s_liveness_readiness_startup_probes,k8s_debug_pods,k8s_debug_pods,0.8658267259597778,0.8861231803894043,0.8900362253189087,0,0,0,0,0,0.25,123.914
eval_003,A Service has a ClusterIP but requests do not reach any backend Pods. What Kubernetes troubleshooting document should guide the investigation?,single,single-troubleshooting,k8s_debug_services,,k8s_debug_services,k8s_debug_services,k8s_debug_pods,0.8016483187675476,0.8430194854736328,0.8584547638893127,1,1,1,1,1,1.0,128.665
eval_004,Several Pods restart only after the application becomes unresponsive for a while. Which probe behavior should be reviewed?,single,single-troubleshooting,k8s_liveness_readiness_startup_probes,,k8s_liveness_readiness_startup_probes,k8s_debug_running_pod,k8s_liveness_readiness_startup_probes,0.7178941965103149,0.7812784910202026,0.8386422395706177,1,1,1,1,1,1.0,123.801
eval_005,CPU usage rises during traffic spikes but replica count does not increase. Which Kubernetes autoscaling document is the primary source?,single,single-troubleshooting,k8s_horizontal_pod_autoscaling,,k8s_horizontal_pod_autoscaling,k8s_horizontal_pod_autoscaling,k8s_horizontal_pod_autoscaling,0.8579939603805542,0.8971980810165405,0.8999452590942383,1,1,1,1,1,1.0,150.933
eval_006,A container is killed when memory usage grows beyond its configured boundary. Which document explains the relevant Kubernetes resource settings?,single,single-troubleshooting,k8s_resource_management,,k8s_resource_management,k8s_resource_management,k8s_resource_management,0.6699116826057434,0.6720914840698242,0.786152720451355,1,1,1,1,1,1.0,130.528
eval_007,An application should receive environment specific non-secret settings without rebuilding its image. Which Kubernetes object is relevant?,single,single-conceptual,k8s_configmaps,,k8s_secrets,k8s_secrets,k8s_secrets,0.8440338969230652,0.9009698033332825,0.9155988097190857,0,0,0,0,0,0.25,123.533
eval_008,A Pod needs a database password without placing it directly in the image or normal config file. Which Kubernetes object should be used?,single,single-conceptual,k8s_secrets,,k8s_secrets,k8s_secrets,k8s_secrets,0.8858439326286316,0.8859196901321411,0.8875078558921814,1,1,1,1,1,1.0,125.912
eval_009,After a container restarts I need to understand where Kubernetes expects application logs to come from. Which document is relevant?,single,contextual,k8s_logging_architecture,,k8s_logging_architecture,k8s_logging_architecture,k8s_logging_architecture,0.7621963620185852,0.777197003364563,0.8756093978881836,1,1,1,1,1,1.0,122.992
eval_010,I need a broad view of what signals Kubernetes exposes for operating a cluster. Which document should be retrieved?,single,single-conceptual,k8s_observability,,k8s_observability,k8s_observability,k8s_debug_services,0.8014487028121948,0.8338634967803955,0.8776945471763611,1,1,1,1,1,1.0,133.273
eval_011,EKS Auto Mode is not behaving as expected after cluster configuration changes. Which AWS troubleshooting guide should I consult?,single,single-troubleshooting,aws_eks_auto_mode_troubleshooting,,aws_eks_auto_mode_troubleshooting,aws_eks_auto_mode_troubleshooting,aws_eks_auto_mode_troubleshooting,0.5108180046081543,0.6400860548019409,0.6634818911552429,1,1,1,1,1,1.0,180.42
eval_012,An EKS user receives an authorization error while trying to access cluster resources. Which document should be the primary source?,single,single-troubleshooting,aws_eks_iam_troubleshooting,,aws_eks_iam_troubleshooting,aws_eks_iam_troubleshooting,aws_eks_iam_troubleshooting,0.7885620594024658,0.8366355895996094,0.9065332412719727,1,1,1,1,1,1.0,116.596
eval_013,An Auto Scaling group replaces instances and I need to understand which health checks can trigger that behavior. Which document explains this?,single,discrimination,aws_ec2_autoscaling_health_checks,,aws_ec2_autoscaling_health_checks,aws_ec2_autoscaling_health_checks,aws_ec2_autoscaling_health_checks,0.5863033533096313,0.6476768255233765,0.6534641981124878,1,1,1,1,1,1.0,126.383
