id,question,ground_truth_type,question_type,scope,expected_document_1,expected_document_2,top_1_doc_id,top_1_title,top_1_distance,top_3_doc_ids,top_5_doc_ids,top_5_distances
eval_001,A Kubernetes Pod stays Pending after deployment and no container logs exist yet. What should I inspect first?,single,single-troubleshooting,in_scope,k8s_debug_pods,,k8s_debug_running_pod,Debug Running Pods,0.6425888538360596,k8s_debug_running_pod|k8s_debug_pods|k8s_liveness_readiness_startup_probes,k8s_debug_running_pod|k8s_debug_pods|k8s_liveness_readiness_startup_probes|k8s_debug_running_pod|k8s_liveness_readiness_startup_probes,0.642589|0.755127|0.827052|0.829051|0.834397
eval_002,A Pod is Running but the application is not responding on its expected port. What diagnostic path should I start with?,single,single-troubleshooting,in_scope,k8s_debug_running_pod,,k8s_debug_services,Debug Services,0.8657751083374023,k8s_debug_services|k8s_liveness_readiness_startup_probes|k8s_debug_pods,k8s_debug_services|k8s_liveness_readiness_startup_probes|k8s_debug_pods|k8s_debug_pods|k8s_debug_services,0.865775|0.891247|0.893594|0.920422|0.932169
eval_003,A Service has a ClusterIP but requests do not reach any backend Pods. What Kubernetes troubleshooting document should guide the investigation?,single,single-troubleshooting,in_scope,k8s_debug_services,,k8s_debug_services,Debug Services,0.7711037397384644,k8s_debug_services|k8s_debug_pods|k8s_debug_pods,k8s_debug_services|k8s_debug_pods|k8s_debug_pods|k8s_debug_services|k8s_debug_services,0.771104|0.781494|0.855939|0.877672|0.893469
eval_004,Several Pods restart only after the application becomes unresponsive for a while. Which probe behavior should be reviewed?,single,single-troubleshooting,in_scope,k8s_liveness_readiness_startup_probes,,k8s_debug_running_pod,Debug Running Pods,0.7480043172836304,k8s_debug_running_pod|k8s_liveness_readiness_startup_probes|k8s_liveness_readiness_startup_probes,k8s_debug_running_pod|k8s_liveness_readiness_startup_probes|k8s_liveness_readiness_startup_probes|k8s_liveness_readiness_startup_probes|k8s_horizontal_pod_autoscaling,0.748004|0.754359|0.815026|0.847499|0.879337
eval_005,CPU usage rises during traffic spikes but replica count does not increase. Which Kubernetes autoscaling document is the primary source?,single,single-troubleshooting,in_scope,k8s_horizontal_pod_autoscaling,,k8s_horizontal_pod_autoscaling,Horizontal Pod Autoscaling,0.8495623469352722,k8s_horizontal_pod_autoscaling|k8s_horizontal_pod_autoscaling|k8s_horizontal_pod_autoscaling,k8s_horizontal_pod_autoscaling|k8s_horizontal_pod_autoscaling|k8s_horizontal_pod_autoscaling|k8s_horizontal_pod_autoscaling|k8s_horizontal_pod_autoscaling,0.849562|0.864114|0.874364|0.893486|0.899781
eval_006,A container is killed when memory usage grows beyond its configured boundary. Which document explains the relevant Kubernetes resource settings?,single,single-troubleshooting,in_scope,k8s_resource_management,,k8s_resource_management,Resource Management for Pods and Containers,0.5610812902450562,k8s_resource_management|k8s_resource_management|k8s_resource_management,k8s_resource_management|k8s_resource_management|k8s_resource_management|k8s_resource_management|k8s_resource_management,0.561081|0.658378|0.774847|0.780891|0.786801
eval_007,An application should receive environment specific non-secret settings without rebuilding its image. Which Kubernetes object is relevant?,single,single-conceptual,in_scope,k8s_configmaps,,k8s_secrets,Secrets,0.8747434616088867,k8s_secrets|k8s_secrets|k8s_secrets,k8s_secrets|k8s_secrets|k8s_secrets|k8s_secrets|k8s_secrets,0.874743|0.894969|0.954654|0.965253|0.967092
eval_008,A Pod needs a database password without placing it directly in the image or normal config file. Which Kubernetes object should be used?,single,single-conceptual,in_scope,k8s_secrets,,k8s_secrets,Secrets,0.6894298791885376,k8s_secrets|k8s_secrets|k8s_secrets,k8s_secrets|k8s_secrets|k8s_secrets|k8s_secrets|k8s_secrets,0.689430|0.827838|0.857991|0.860760|0.869064
eval_009,After a container restarts I need to understand where Kubernetes expects application logs to come from. Which document is relevant?,single,contextual,in_scope,k8s_logging_architecture,,k8s_logging_architecture,Logging Architecture,0.7195429801940918,k8s_logging_architecture|k8s_logging_architecture|k8s_observability,k8s_logging_architecture|k8s_logging_architecture|k8s_observability|k8s_troubleshooting_applications|k8s_logging_architecture,0.719543|0.766115|0.895857|0.902360|0.905808
eval_010,I need a broad view of what signals Kubernetes exposes for operating a cluster. Which document should be retrieved?,single,single-conceptual,in_scope,k8s_observability,,k8s_observability,Observability,0.7869002819061279,k8s_observability|k8s_observability|k8s_observability,k8s_observability|k8s_observability|k8s_observability|k8s_logging_architecture|k8s_observability,0.786900|0.931674|0.953945|0.956981|0.971048
eval_011,EKS Auto Mode is not behaving as expected after cluster configuration changes. Which AWS troubleshooting guide should I consult?,single,single-troubleshooting,in_scope,aws_eks_auto_mode_troubleshooting,,aws_eks_auto_mode_troubleshooting,Troubleshoot EKS Auto Mode,0.5079729557037354,aws_eks_auto_mode_troubleshooting|aws_eks_auto_mode_troubleshooting|aws_eks_auto_mode_troubleshooting,aws_eks_auto_mode_troubleshooting|aws_eks_auto_mode_troubleshooting|aws_eks_auto_mode_troubleshooting|aws_eks_auto_mode_troubleshooting|aws_eks_auto_mode_troubleshooting,0.507973|0.632087|0.689947|0.715208|0.721787
eval_012,An EKS user receives an authorization error while trying to access cluster resources. Which document should be the primary source?,single,single-troubleshooting,in_scope,aws_eks_iam_troubleshooting,,aws_eks_iam_troubleshooting,Troubleshooting IAM - Amazon EKS,0.7758354544639587,aws_eks_iam_troubleshooting|aws_eks_iam_troubleshooting|aws_eks_iam_troubleshooting,aws_eks_iam_troubleshooting|aws_eks_iam_troubleshooting|aws_eks_iam_troubleshooting|aws_eks_iam_troubleshooting|aws_eks_auto_mode_troubleshooting,0.775835|0.808262|0.931318|0.951566|0.962866
eval_013,An Auto Scaling group replaces instances and I need to understand which health checks can trigger that behavior. Which document explains this?,single,discrimination,in_scope,aws_ec2_autoscaling_health_checks,,aws_ec2_autoscaling_health_checks,About the health checks for your Auto Scaling group,0.5877937078475952,aws_ec2_autoscaling_health_checks|aws_ec2_autoscaling_health_checks|aws_ec2_autoscaling_health_checks,aws_ec2_autoscaling_health_checks|aws_ec2_autoscaling_health_checks|aws_ec2_autoscaling_health_checks|aws_ec2_autoscaling_health_checks|aws_ec2_autoscaling_health_checks,0.587794|0.638384|0.659811|0.676497|0.690910
eval_014,An Auto Scaling activity says an instance was taken out of service because a health check failed. Which troubleshooting document should be retrieved?,single,single-troubleshooting,in_scope,aws_ec2_autoscaling_unhealthy_instances,,aws_ec2_autoscaling_unhealthy_instances,Troubleshoot unhealthy instances in Amazon EC2 Auto Scaling,0.645587682723999,aws_ec2_autoscaling_unhealthy_instances|aws_ec2_autoscaling_unhealthy_instances|aws_ec2_autoscaling_unhealthy_instances,aws_ec2_autoscaling_unhealthy_instances|aws_ec2_autoscaling_unhealthy_instances|aws_ec2_autoscaling_unhealthy_instances|aws_ec2_autoscaling_health_checks|aws_ec2_autoscaling_health_checks,0.645588|0.677888|0.689415|0.735056|0.740671
eval_015,Auto Scaling capacity changes are failing and I need a general AWS troubleshooting entry point. Which document is most relevant?,single,single-troubleshooting,in_scope,aws_ec2_autoscaling_troubleshooting,,aws_ec2_autoscaling_troubleshooting,Troubleshoot Amazon EC2 Auto Scaling,0.7116236686706543,aws_ec2_autoscaling_troubleshooting|aws_ec2_autoscaling_unhealthy_instances|aws_ec2_autoscaling_troubleshooting,aws_ec2_autoscaling_troubleshooting|aws_ec2_autoscaling_unhealthy_instances|aws_ec2_autoscaling_troubleshooting|aws_ec2_autoscaling_troubleshooting|aws_ec2_autoscaling_troubleshooting,0.711624|0.758435|0.761943|0.780167|0.804027
eval_016,Users see intermittent 5xx responses through an Application Load Balancer. Which AWS document should guide first diagnosis?,single,single-troubleshooting,in_scope,aws_alb_troubleshooting,,aws_alb_troubleshooting,Troubleshoot your Application Load Balancers,0.6744742393493652,aws_alb_troubleshooting|aws_alb_monitoring|aws_alb_monitoring,aws_alb_troubleshooting|aws_alb_monitoring|aws_alb_monitoring|aws_alb_troubleshooting|aws_alb_monitoring,0.674474|0.721250|0.744212|0.783331|0.789184
eval_017,Before blaming targets behind an ALB I need request logs and metrics to understand traffic patterns. Which document is relevant?,single,contextual,in_scope,aws_alb_monitoring,,aws_alb_monitoring,Monitor your Application Load Balancers,0.8498361110687256,aws_alb_monitoring|aws_alb_monitoring|aws_alb_monitoring,aws_alb_monitoring|aws_alb_monitoring|aws_alb_monitoring|aws_alb_troubleshooting|aws_alb_troubleshooting,0.849836|0.903866|0.928413|0.946714|0.967961
eval_018,An application cannot connect to an RDS DB instance from a client host. Which AWS document should be the main source?,single,single-troubleshooting,in_scope,aws_rds_troubleshooting,,aws_rds_troubleshooting,Troubleshooting for Amazon RDS,0.803141713142395,aws_rds_troubleshooting|aws_rds_troubleshooting|aws_rds_troubleshooting,aws_rds_troubleshooting|aws_rds_troubleshooting|aws_rds_troubleshooting|aws_rds_troubleshooting|aws_rds_troubleshooting,0.803142|0.818605|0.870117|0.888086|0.923195
eval_019,I need to check whether a network path inside a VPC can reach a destination before changing security groups. Which AWS tool document applies?,single,single-conceptual,in_scope,aws_vpc_reachability_analyzer,,aws_eks_auto_mode_troubleshooting,Troubleshoot EKS Auto Mode,0.8569586277008057,aws_eks_auto_mode_troubleshooting|aws_vpc_reachability_analyzer|aws_ec2_autoscaling_health_checks,aws_eks_auto_mode_troubleshooting|aws_vpc_reachability_analyzer|aws_ec2_autoscaling_health_checks|aws_rds_troubleshooting|aws_eks_auto_mode_troubleshooting,0.856959|0.940274|0.997758|1.008584|1.037762
eval_020,A Kubernetes workload uses a feature flag and a password. Which documents distinguish where each value belongs?,multi,multi-document,in_scope,k8s_configmaps,k8s_secrets,k8s_secrets,Secrets,0.8379372358322144,k8s_secrets|k8s_secrets|k8s_secrets,k8s_secrets|k8s_secrets|k8s_secrets|k8s_secrets|aws_eks_auto_mode_troubleshooting,0.837937|0.970632|0.999044|1.017189|1.029694
eval_021,A Service shows no ready backends after a rollout and the Pods report readiness probe failures. Which two documents should be used together?,multi,multi-document,in_scope,k8s_liveness_readiness_startup_probes,k8s_debug_services,k8s_liveness_readiness_startup_probes,Configure Liveness Readiness and Startup Probes,0.8425766229629517,k8s_liveness_readiness_startup_probes|k8s_liveness_readiness_startup_probes|k8s_horizontal_pod_autoscaling,k8s_liveness_readiness_startup_probes|k8s_liveness_readiness_startup_probes|k8s_horizontal_pod_autoscaling|k8s_debug_running_pod|k8s_debug_running_pod,0.842577|0.874504|0.886654|0.913420|0.925268
eval_022,A Pod cannot be scheduled and the team suspects resource requests are too high. Which documents should support the investigation?,multi,multi-document,in_scope,k8s_debug_pods,k8s_resource_management,k8s_resource_management,Resource Management for Pods and Containers,0.8724102973937988,k8s_resource_management|k8s_resource_management|k8s_resource_management,k8s_resource_management|k8s_resource_management|k8s_resource_management|k8s_resource_management|k8s_resource_management,0.872410|0.893025|0.901405|0.915182|0.924008
eval_023,An ALB target is unhealthy and the Auto Scaling group is replacing instances. Which documents together explain the load balancer and replacement sides?,multi,multi-document,in_scope,aws_alb_troubleshooting,aws_ec2_autoscaling_health_checks,aws_ec2_autoscaling_unhealthy_instances,Troubleshoot unhealthy instances in Amazon EC2 Auto Scaling,0.791711688041687,aws_ec2_autoscaling_unhealthy_instances|aws_ec2_autoscaling_health_checks|aws_ec2_autoscaling_health_checks,aws_ec2_autoscaling_unhealthy_instances|aws_ec2_autoscaling_health_checks|aws_ec2_autoscaling_health_checks|aws_ec2_autoscaling_health_checks|aws_alb_troubleshooting,0.791712|0.797878|0.819359|0.831706|0.858611
eval_024,An RDS connection issue may be caused by network reachability rather than database state. Which documents should be paired?,multi,multi-document,in_scope,aws_rds_troubleshooting,aws_vpc_reachability_analyzer,aws_rds_troubleshooting,Troubleshooting for Amazon RDS,0.9206612706184387,aws_rds_troubleshooting|aws_rds_troubleshooting|aws_rds_troubleshooting,aws_rds_troubleshooting|aws_rds_troubleshooting|aws_rds_troubleshooting|aws_rds_troubleshooting|aws_rds_troubleshooting,0.920661|0.927606|0.931633|1.031353|1.040449
eval_025,EKS access fails for a user working on an Auto Mode cluster. Which documents should be considered together?,multi,multi-document,in_scope,aws_eks_iam_troubleshooting,aws_eks_auto_mode_troubleshooting,aws_eks_auto_mode_troubleshooting,Troubleshoot EKS Auto Mode,0.8119879961013794,aws_eks_auto_mode_troubleshooting|aws_eks_auto_mode_troubleshooting|aws_eks_auto_mode_troubleshooting,aws_eks_auto_mode_troubleshooting|aws_eks_auto_mode_troubleshooting|aws_eks_auto_mode_troubleshooting|aws_eks_iam_troubleshooting|aws_eks_auto_mode_troubleshooting,0.811988|0.820639|0.923277|0.933760|0.936765
eval_026,A Pod is healthy enough to run but should not receive traffic until dependency checks pass. Which Kubernetes concept separates this from restart behavior?,single,discrimination,in_scope,k8s_liveness_readiness_startup_probes,,k8s_liveness_readiness_startup_probes,Configure Liveness Readiness and Startup Probes,0.8487154841423035,k8s_liveness_readiness_startup_probes|k8s_liveness_readiness_startup_probes|k8s_liveness_readiness_startup_probes,k8s_liveness_readiness_startup_probes|k8s_liveness_readiness_startup_probes|k8s_liveness_readiness_startup_probes|k8s_liveness_readiness_startup_probes|k8s_horizontal_pod_autoscaling,0.848715|0.888408|0.894888|0.909497|0.910507
eval_027,Should application feature flags be stored in a Secret just because they affect runtime behavior?,single,discrimination,in_scope,k8s_configmaps,,k8s_secrets,Secrets,1.0156034231185913,k8s_secrets|k8s_secrets|k8s_secrets,k8s_secrets|k8s_secrets|k8s_secrets|k8s_secrets|k8s_secrets,1.015603|1.036702|1.040570|1.052610|1.054816
eval_028,Should I start with ALB monitoring or ALB troubleshooting when I need raw evidence about request patterns before changing target settings?,single,discrimination,in_scope,aws_alb_monitoring,,aws_alb_monitoring,Monitor your Application Load Balancers,1.0349994897842407,aws_alb_monitoring|aws_alb_monitoring|aws_alb_troubleshooting,aws_alb_monitoring|aws_alb_monitoring|aws_alb_troubleshooting|aws_alb_troubleshooting|aws_alb_troubleshooting,1.034999|1.049141|1.064005|1.069533|1.071309
eval_029,When an Auto Scaling instance is marked unhealthy should I look at health check type behavior or the specific activity error message first?,single,discrimination,in_scope,aws_ec2_autoscaling_unhealthy_instances,,aws_ec2_autoscaling_health_checks,About the health checks for your Auto Scaling group,0.6919569969177246,aws_ec2_autoscaling_health_checks|aws_ec2_autoscaling_unhealthy_instances|aws_ec2_autoscaling_health_checks,aws_ec2_autoscaling_health_checks|aws_ec2_autoscaling_unhealthy_instances|aws_ec2_autoscaling_health_checks|aws_ec2_autoscaling_health_checks|aws_ec2_autoscaling_health_checks,0.691957|0.729186|0.741363|0.751248|0.782031
eval_030,A cluster operator wants to understand whether logs metrics and traces are separate operational signals. Which Kubernetes document should be retrieved?,single,contextual,in_scope,k8s_observability,,k8s_observability,Observability,0.7121119499206543,k8s_observability|k8s_observability|k8s_observability,k8s_observability|k8s_observability|k8s_observability|k8s_observability|k8s_logging_architecture,0.712112|0.780385|0.848789|0.862199|0.895456
eval_031,A developer expects Kubernetes to preserve container logs forever after restart. Which document explains the logging model and its limits?,single,contextual,in_scope,k8s_logging_architecture,,k8s_logging_architecture,Logging Architecture,0.8720154762268066,k8s_logging_architecture|k8s_logging_architecture|k8s_logging_architecture,k8s_logging_architecture|k8s_logging_architecture|k8s_logging_architecture|k8s_logging_architecture|k8s_logging_architecture,0.872015|0.876990|0.927918|0.942378|0.956555
eval_032,A Service name resolves but requests still fail to reach Pods. Which Kubernetes troubleshooting source is most relevant?,single,single-troubleshooting,in_scope,k8s_debug_services,,k8s_debug_pods,Debug Pods,0.7415944337844849,k8s_debug_pods|k8s_debug_services|k8s_debug_services,k8s_debug_pods|k8s_debug_services|k8s_debug_services|k8s_debug_services|k8s_debug_services,0.741594|0.745907|0.747207|0.766735|0.790041
