experiment_id,chunk_size,chunk_overlap,chunk_count,id,question,ground_truth_type,question_type,expected_document_1,expected_document_2,retrieved_rank_1_doc_id,retrieved_rank_2_doc_id,retrieved_rank_3_doc_id,retrieved_rank_1_score,retrieved_rank_2_score,retrieved_rank_3_score,hit_at_1,hit_at_3,any_hit_at_1,any_hit_at_3,all_hit_at_3,reciprocal_rank,retrieval_latency_ms
chunk_256_0,256,0,1669,eval_001,A Kubernetes Pod stays Pending after deployment and no container logs exist yet. What should I inspect first?,single,single-troubleshooting,k8s_debug_pods,,k8s_debug_running_pod,k8s_liveness_readiness_startup_probes,k8s_debug_pods,0.7628599405288696,0.792327880859375,0.8004564642906189,0,1,0,1,1,0.3333333333333333,134.446
chunk_256_0,256,0,1669,eval_002,A Pod is Running but the application is not responding on its expected port. What diagnostic path should I start with?,single,single-troubleshooting,k8s_debug_running_pod,,k8s_debug_services,k8s_debug_pods,k8s_debug_pods,0.8095099925994873,0.8254423141479492,0.8368484973907471,0,0,0,0,0,0.2,130.434
chunk_256_0,256,0,1669,eval_003,A Service has a ClusterIP but requests do not reach any backend Pods. What Kubernetes troubleshooting document should guide the investigation?,single,single-troubleshooting,k8s_debug_services,,k8s_debug_pods,k8s_debug_services,k8s_debug_pods,0.7835884094238281,0.8469042181968689,0.8619396090507507,0,1,0,1,1,0.5,131.725
chunk_256_0,256,0,1669,eval_004,Several Pods restart only after the application becomes unresponsive for a while. Which probe behavior should be reviewed?,single,single-troubleshooting,k8s_liveness_readiness_startup_probes,,k8s_liveness_readiness_startup_probes,k8s_debug_services,k8s_debug_pods,0.679543137550354,0.740382730960846,0.7796893119812012,1,1,1,1,1,1.0,124.747
chunk_256_0,256,0,1669,eval_005,CPU usage rises during traffic spikes but replica count does not increase. Which Kubernetes autoscaling document is the primary source?,single,single-troubleshooting,k8s_horizontal_pod_autoscaling,,k8s_horizontal_pod_autoscaling,k8s_horizontal_pod_autoscaling,k8s_horizontal_pod_autoscaling,0.8482398986816406,0.8722716569900513,0.8761560916900635,1,1,1,1,1,1.0,157.076
chunk_256_0,256,0,1669,eval_006,A container is killed when memory usage grows beyond its configured boundary. Which document explains the relevant Kubernetes resource settings?,single,single-troubleshooting,k8s_resource_management,,k8s_resource_management,k8s_resource_management,k8s_resource_management,0.7098650932312012,0.7377715110778809,0.7878620624542236,1,1,1,1,1,1.0,165.459
chunk_256_0,256,0,1669,eval_007,An application should receive environment specific non-secret settings without rebuilding its image. Which Kubernetes object is relevant?,single,single-conceptual,k8s_configmaps,,k8s_secrets,k8s_secrets,k8s_secrets,0.9046501517295837,0.9054773449897766,0.9069103598594666,0,0,0,0,0,0.14285714285714285,158.979
chunk_256_0,256,0,1669,eval_008,A Pod needs a database password without placing it directly in the image or normal config file. Which Kubernetes object should be used?,single,single-conceptual,k8s_secrets,,k8s_secrets,k8s_secrets,k8s_secrets,0.6598978042602539,0.8494173288345337,0.8837411403656006,1,1,1,1,1,1.0,135.205
chunk_256_0,256,0,1669,eval_009,After a container restarts I need to understand where Kubernetes expects application logs to come from. Which document is relevant?,single,contextual,k8s_logging_architecture,,k8s_logging_architecture,k8s_logging_architecture,k8s_logging_architecture,0.7920553684234619,0.8244225382804871,0.8344151973724365,1,1,1,1,1,1.0,172.756
chunk_256_0,256,0,1669,eval_010,I need a broad view of what signals Kubernetes exposes for operating a cluster. Which document should be retrieved?,single,single-conceptual,k8s_observability,,k8s_observability,k8s_observability,k8s_observability,0.7900225520133972,0.8000686168670654,0.8920933604240417,1,1,1,1,1,1.0,135.705
chunk_256_0,256,0,1669,eval_011,EKS Auto Mode is not behaving as expected after cluster configuration changes. Which AWS troubleshooting guide should I consult?,single,single-troubleshooting,aws_eks_auto_mode_troubleshooting,,aws_eks_auto_mode_troubleshooting,aws_eks_auto_mode_troubleshooting,aws_eks_auto_mode_troubleshooting,0.5499101877212524,0.5993307828903198,0.6149575114250183,1,1,1,1,1,1.0,126.219
chunk_256_0,256,0,1669,eval_012,An EKS user receives an authorization error while trying to access cluster resources. Which document should be the primary source?,single,single-troubleshooting,aws_eks_iam_troubleshooting,,aws_eks_iam_troubleshooting,aws_eks_auto_mode_troubleshooting,aws_eks_iam_troubleshooting,0.7745769023895264,0.7864447832107544,0.8051251173019409,1,1,1,1,1,1.0,154.091
chunk_256_0,256,0,1669,eval_013,An Auto Scaling group replaces instances and I need to understand which health checks can trigger that behavior. Which document explains this?,single,discrimination,aws_ec2_autoscaling_health_checks,,aws_ec2_autoscaling_health_checks,aws_ec2_autoscaling_health_checks,aws_ec2_autoscaling_health_checks,0.5202288031578064,0.6367776393890381,0.6485730409622192,1,1,1,1,1,1.0,131.425
chunk_256_0,256,0,1669,eval_014,An Auto Scaling activity says an instance was taken out of service because a health check failed. Which troubleshooting document should be retrieved?,single,single-troubleshooting,aws_ec2_autoscaling_unhealthy_instances,,aws_ec2_autoscaling_unhealthy_instances,aws_ec2_autoscaling_troubleshooting,aws_ec2_autoscaling_unhealthy_instances,0.6994400024414062,0.7148388624191284,0.7149990797042847,1,1,1,1,1,1.0,147.839
chunk_256_0,256,0,1669,eval_015,Auto Scaling capacity changes are failing and I need a general AWS troubleshooting entry point. Which document is most relevant?,single,single-troubleshooting,aws_ec2_autoscaling_troubleshooting,,aws_ec2_autoscaling_troubleshooting,aws_ec2_autoscaling_troubleshooting,aws_ec2_autoscaling_troubleshooting,0.6795639991760254,0.6887683272361755,0.7337442636489868,1,1,1,1,1,1.0,143.461
chunk_256_0,256,0,1669,eval_016,Users see intermittent 5xx responses through an Application Load Balancer. Which AWS document should guide first diagnosis?,single,single-troubleshooting,aws_alb_troubleshooting,,aws_alb_troubleshooting,aws_alb_troubleshooting,aws_alb_troubleshooting,0.6908087730407715,0.7013770341873169,0.7105055451393127,1,1,1,1,1,1.0,140.119
chunk_256_0,256,0,1669,eval_017,Before blaming targets behind an ALB I need request logs and metrics to understand traffic patterns. Which document is relevant?,single,contextual,aws_alb_monitoring,,aws_alb_monitoring,aws_alb_troubleshooting,aws_alb_monitoring,0.7130866646766663,0.8842209577560425,0.8849450349807739,1,1,1,1,1,1.0,137.356
chunk_256_0,256,0,1669,eval_018,An application cannot connect to an RDS DB instance from a client host. Which AWS document should be the main source?,single,single-troubleshooting,aws_rds_troubleshooting,,aws_rds_troubleshooting,aws_rds_troubleshooting,aws_rds_troubleshooting,0.7429645657539368,0.7813370227813721,0.8401171565055847,1,1,1,1,1,1.0,133.999
chunk_256_0,256,0,1669,eval_019,I need to check whether a network path inside a VPC can reach a destination before changing security groups. Which AWS tool document applies?,single,single-conceptual,aws_vpc_reachability_analyzer,,aws_eks_auto_mode_troubleshooting,aws_alb_troubleshooting,aws_alb_troubleshooting,0.8299347758293152,0.8824000358581543,0.9404797554016113,0,0,0,0,0,0.2,140.718
chunk_256_0,256,0,1669,eval_020,A Kubernetes workload uses a feature flag and a password. Which documents distinguish where each value belongs?,multi,multi-document,k8s_configmaps,k8s_secrets,k8s_secrets,k8s_secrets,k8s_secrets,0.820663332939148,0.9956232309341431,1.0087461471557617,1,1,1,1,0,1.0,131.036
chunk_256_0,256,0,1669,eval_021,A Service shows no ready backends after a rollout and the Pods report readiness probe failures. Which two documents should be used together?,multi,multi-document,k8s_liveness_readiness_startup_probes,k8s_debug_services,k8s_horizontal_pod_autoscaling,k8s_debug_pods,k8s_liveness_readiness_startup_probes,0.8009881377220154,0.8348841667175293,0.8401010036468506,0,1,0,1,0,0.3333333333333333,120.565
chunk_256_0,256,0,1669,eval_022,A Pod cannot be scheduled and the team suspects resource requests are too high. Which documents should support the investigation?,multi,multi-document,k8s_debug_pods,k8s_resource_management,k8s_resource_management,k8s_resource_management,k8s_debug_running_pod,0.8088985681533813,0.831546425819397,0.8318198323249817,1,1,1,1,0,1.0,140.013
chunk_256_0,256,0,1669,eval_023,An ALB target is unhealthy and the Auto Scaling group is replacing instances. Which documents together explain the load balancer and replacement sides?,multi,multi-document,aws_alb_troubleshooting,aws_ec2_autoscaling_health_checks,aws_ec2_autoscaling_health_checks,aws_ec2_autoscaling_health_checks,aws_ec2_autoscaling_health_checks,0.729791522026062,0.8096685409545898,0.8224757313728333,1,1,1,1,0,1.0,135.183
chunk_256_0,256,0,1669,eval_024,An RDS connection issue may be caused by network reachability rather than database state. Which documents should be paired?,multi,multi-document,aws_rds_troubleshooting,aws_vpc_reachability_analyzer,aws_rds_troubleshooting,aws_rds_troubleshooting,aws_rds_troubleshooting,0.856550931930542,0.907899022102356,0.9173141717910767,1,1,1,1,0,1.0,122.316
chunk_256_0,256,0,1669,eval_025,EKS access fails for a user working on an Auto Mode cluster. Which documents should be considered together?,multi,multi-document,aws_eks_iam_troubleshooting,aws_eks_auto_mode_troubleshooting,aws_eks_auto_mode_troubleshooting,aws_eks_auto_mode_troubleshooting,aws_eks_auto_mode_troubleshooting,0.8072519302368164,0.8243757486343384,0.8619299530982971,1,1,1,1,0,1.0,136.725
chunk_256_0,256,0,1669,eval_026,A Pod is healthy enough to run but should not receive traffic until dependency checks pass. Which Kubernetes concept separates this from restart behavior?,single,discrimination,k8s_liveness_readiness_startup_probes,,k8s_debug_services,k8s_liveness_readiness_startup_probes,k8s_liveness_readiness_startup_probes,0.7011207342147827,0.7902172803878784,0.8158202171325684,0,1,0,1,1,0.5,124.285
chunk_256_0,256,0,1669,eval_027,Should application feature flags be stored in a Secret just because they affect runtime behavior?,single,discrimination,k8s_configmaps,,k8s_secrets,k8s_secrets,k8s_secrets,0.8991351127624512,0.969548225402832,0.9740281701087952,0,0,0,0,0,0.14285714285714285,125.879
chunk_256_0,256,0,1669,eval_028,Should I start with ALB monitoring or ALB troubleshooting when I need raw evidence about request patterns before changing target settings?,single,discrimination,aws_alb_monitoring,,aws_alb_troubleshooting,aws_alb_troubleshooting,aws_alb_monitoring,0.9451485872268677,0.952709436416626,0.9607448577880859,0,1,0,1,1,0.3333333333333333,140.946
chunk_256_0,256,0,1669,eval_029,When an Auto Scaling instance is marked unhealthy should I look at health check type behavior or the specific activity error message first?,single,discrimination,aws_ec2_autoscaling_unhealthy_instances,,aws_ec2_autoscaling_health_checks,aws_ec2_autoscaling_health_checks,aws_ec2_autoscaling_unhealthy_instances,0.664694607257843,0.6906986236572266,0.7117339372634888,0,1,0,1,1,0.3333333333333333,136.537
chunk_256_0,256,0,1669,eval_030,A cluster operator wants to understand whether logs metrics and traces are separate operational signals. Which Kubernetes document should be retrieved?,single,contextual,k8s_observability,,k8s_observability,k8s_observability,k8s_observability,0.7853026390075684,0.813277006149292,0.8268882036209106,1,1,1,1,1,1.0,124.055
chunk_256_0,256,0,1669,eval_031,A developer expects Kubernetes to preserve container logs forever after restart. Which document explains the logging model and its limits?,single,contextual,k8s_logging_architecture,,k8s_logging_architecture,k8s_logging_architecture,k8s_logging_architecture,0.874193549156189,0.9480416774749756,0.9505540728569031,1,1,1,1,1,1.0,129.903
chunk_256_0,256,0,1669,eval_032,A Service name resolves but requests still fail to reach Pods. Which Kubernetes troubleshooting source is most relevant?,single,single-troubleshooting,k8s_debug_services,,k8s_debug_pods,k8s_debug_services,k8s_debug_services,0.7265174388885498,0.7528359889984131,0.7879140377044678,0,1,0,1,1,0.5,119.006
chunk_256_0,256,0,1669,eval_033,A container starts slowly and liveness checks kill it before it finishes initialization. Which probe type should be investigated?,single,contextual,k8s_liveness_readiness_startup_probes,,k8s_liveness_readiness_startup_probes,k8s_liveness_readiness_startup_probes,k8s_liveness_readiness_startup_probes,0.5383706092834473,0.6559478640556335,0.6590805053710938,1,1,1,1,1,1.0,161.222
chunk_256_0,256,0,1669,eval_034,Auto Scaling should not immediately replace every unhealthy instance at once during a widespread target failure. Which document explains replacement behavior?,single,contextual,aws_ec2_autoscaling_health_checks,,aws_ec2_autoscaling_health_checks,aws_ec2_autoscaling_health_checks,aws_ec2_autoscaling_health_checks,0.6969451308250427,0.7077798843383789,0.7235370874404907,1,1,1,1,1,1.0,122.433
chunk_256_0,256,0,1669,eval_035,An RDS instance is available but external clients still cannot connect. Which likely network and access settings are described in the corpus?,single,single-troubleshooting,aws_rds_troubleshooting,,aws_rds_troubleshooting,aws_rds_troubleshooting,aws_rds_troubleshooting,0.8187633752822876,0.9036117196083069,0.9137075543403625,1,1,1,1,1,1.0,135.093
chunk_256_0,256,0,1669,eval_036,A team wants to verify whether a source can reach a destination in a VPC without manually reading every route and security rule. Which document applies?,single,single-conceptual,aws_vpc_reachability_analyzer,,aws_alb_troubleshooting,aws_vpc_reachability_analyzer,aws_eks_auto_mode_troubleshooting,0.9635517001152039,1.0016676187515259,1.0350451469421387,0,1,0,1,1,0.5,132.21
chunk_256_0,256,0,1669,eval_037,How do I register for the AWS Certified Solutions Architect exam next month?,out_of_scope,out-of-scope,NONE,,aws_ec2_autoscaling_troubleshooting,aws_eks_iam_troubleshooting,aws_eks_iam_troubleshooting,1.2307095527648926,1.330603837966919,1.3413864374160767,,,,,,,120.119
chunk_256_0,256,0,1669,eval_038,What is the current monthly price for a specific RDS instance class in Seoul region?,out_of_scope,out-of-scope,NONE,,aws_rds_troubleshooting,aws_rds_troubleshooting,aws_rds_troubleshooting,1.0888793468475342,1.1359615325927734,1.1430728435516357,,,,,,,158.148
chunk_256_0,256,0,1669,eval_039,How do I fix a Python pandas dataframe merge error in local code?,out_of_scope,out-of-scope,NONE,,k8s_debug_pods,k8s_debug_pods,aws_eks_iam_troubleshooting,1.4686691761016846,1.546454668045044,1.5639337301254272,,,,,,,140.161
chunk_256_0,256,0,1669,eval_040,What is the latest Kubernetes CVE announced this week?,out_of_scope,out-of-scope,NONE,,k8s_resource_management,k8s_secrets,k8s_liveness_readiness_startup_probes,1.0499956607818604,1.0501666069030762,1.0954058170318604,,,,,,,141.996
chunk_256_64,256,64,2217,eval_001,A Kubernetes Pod stays Pending after deployment and no container logs exist yet. What should I inspect first?,single,single-troubleshooting,k8s_debug_pods,,k8s_debug_running_pod,k8s_debug_running_pod,k8s_debug_pods,0.6893302798271179,0.7506664991378784,0.7993892431259155,0,1,0,1,1,0.3333333333333333,195.571
chunk_256_64,256,64,2217,eval_002,A Pod is Running but the application is not responding on its expected port. What diagnostic path should I start with?,single,single-troubleshooting,k8s_debug_running_pod,,k8s_debug_pods,k8s_debug_services,k8s_debug_services,0.7694240808486938,0.8425723910331726,0.8494119644165039,0,0,0,0,0,0.16666666666666666,138.444
chunk_256_64,256,64,2217,eval_003,A Service has a ClusterIP but requests do not reach any backend Pods. What Kubernetes troubleshooting document should guide the investigation?,single,single-troubleshooting,k8s_debug_services,,k8s_debug_pods,k8s_debug_services,k8s_debug_services,0.7837009429931641,0.806904137134552,0.8113954067230225,0,1,0,1,1,0.5,151.11
chunk_256_64,256,64,2217,eval_004,Several Pods restart only after the application becomes unresponsive for a while. Which probe behavior should be reviewed?,single,single-troubleshooting,k8s_liveness_readiness_startup_probes,,k8s_liveness_readiness_startup_probes,k8s_liveness_readiness_startup_probes,k8s_debug_services,0.6528353691101074,0.6917576193809509,0.740382730960846,1,1,1,1,1,1.0,204.737
chunk_256_64,256,64,2217,eval_005,CPU usage rises during traffic spikes but replica count does not increase. Which Kubernetes autoscaling document is the primary source?,single,single-troubleshooting,k8s_horizontal_pod_autoscaling,,k8s_horizontal_pod_autoscaling,k8s_horizontal_pod_autoscaling,k8s_horizontal_pod_autoscaling,0.8698140382766724,0.8823732137680054,0.8846244215965271,1,1,1,1,1,1.0,133.252
chunk_256_64,256,64,2217,eval_006,A container is killed when memory usage grows beyond its configured boundary. Which document explains the relevant Kubernetes resource settings?,single,single-troubleshooting,k8s_resource_management,,k8s_resource_management,k8s_resource_management,k8s_resource_management,0.73783940076828,0.7572318315505981,0.7719693183898926,1,1,1,1,1,1.0,161.079
chunk_256_64,256,64,2217,eval_007,An application should receive environment specific non-secret settings without rebuilding its image. Which Kubernetes object is relevant?,single,single-conceptual,k8s_configmaps,,k8s_secrets,k8s_secrets,k8s_secrets,0.8913673162460327,0.9046501517295837,0.928338885307312,0,0,0,0,0,0.14285714285714285,177.256
chunk_256_64,256,64,2217,eval_008,A Pod needs a database password without placing it directly in the image or normal config file. Which Kubernetes object should be used?,single,single-conceptual,k8s_secrets,,k8s_secrets,k8s_secrets,k8s_secrets,0.7912235260009766,0.8595943450927734,0.8867967128753662,1,1,1,1,1,1.0,211.31
chunk_256_64,256,64,2217,eval_009,After a container restarts I need to understand where Kubernetes expects application logs to come from. Which document is relevant?,single,contextual,k8s_logging_architecture,,k8s_logging_architecture,k8s_logging_architecture,k8s_logging_architecture,0.8353292346000671,0.8452029228210449,0.8567104339599609,1,1,1,1,1,1.0,153.34
chunk_256_64,256,64,2217,eval_010,I need a broad view of what signals Kubernetes exposes for operating a cluster. Which document should be retrieved?,single,single-conceptual,k8s_observability,,k8s_observability,k8s_observability,k8s_observability,0.7786778807640076,0.790145218372345,0.8532073497772217,1,1,1,1,1,1.0,152.687
chunk_256_64,256,64,2217,eval_011,EKS Auto Mode is not behaving as expected after cluster configuration changes. Which AWS troubleshooting guide should I consult?,single,single-troubleshooting,aws_eks_auto_mode_troubleshooting,,aws_eks_auto_mode_troubleshooting,aws_eks_auto_mode_troubleshooting,aws_eks_auto_mode_troubleshooting,0.5497394800186157,0.6114878058433533,0.614986002445221,1,1,1,1,1,1.0,148.228
