experiment_id,cutoff_k,evaluation_depth,same_ranking_cutoff,embedding_model,chunk_size,chunk_overlap,chunk_unit,chunk_count,index_was_rebuilt,id,question,ground_truth_type,question_type,provider,expected_document_1,expected_document_2,expected_documents,retrieved_doc_ids,retrieved_chunk_ids,retrieved_titles,retrieved_scores,top_1_doc_id,top_3_doc_ids,top_5_doc_ids,top_10_doc_ids,first_expected_rank_1,first_expected_rank_2,first_expected_ranks,hit_at_k,any_hit_at_k,all_hit_at_k,reciprocal_rank,unique_doc_count,duplicate_chunk_count,duplicate_ratio,max_same_doc_occupancy,max_same_doc_occupancy_ratio,retrieved_chunk_count,retrieved_character_count,approximate_token_count,retrieval_latency_depth10_ms
top_k_openai_1024_128,1,10,True,text-embedding-3-small,1024,128,character,483,False,eval_002,A Pod is Running but the application is not responding on its expected port. What diagnostic path should I start with?,single,single-troubleshooting,kubernetes,k8s_debug_running_pod,,k8s_debug_running_pod,k8s_debug_services,k8s_debug_services::0015,Debug Services,0.865775,k8s_debug_services,k8s_debug_services|k8s_liveness_readiness_startup_probes|k8s_debug_pods,k8s_debug_services|k8s_liveness_readiness_startup_probes|k8s_debug_pods|k8s_debug_pods|k8s_debug_services,k8s_debug_services|k8s_liveness_readiness_startup_probes|k8s_debug_pods|k8s_debug_pods|k8s_debug_services|k8s_debug_services|k8s_debug_running_pod|k8s_debug_running_pod|k8s_debug_running_pod|k8s_debug_services,7,,k8s_debug_running_pod:7,0,0,0,0.14285714285714285,1,0,0.0,1,1.0,1,1024,256,124.091
top_k_openai_1024_128,3,10,True,text-embedding-3-small,1024,128,character,483,False,eval_002,A Pod is Running but the application is not responding on its expected port. What diagnostic path should I start with?,single,single-troubleshooting,kubernetes,k8s_debug_running_pod,,k8s_debug_running_pod,k8s_debug_services|k8s_liveness_readiness_startup_probes|k8s_debug_pods,k8s_debug_services::0015|k8s_liveness_readiness_startup_probes::0017|k8s_debug_pods::0000,Debug Services|Configure Liveness Readiness and Startup Probes|Debug Pods,0.865775|0.891247|0.893594,k8s_debug_services,k8s_debug_services|k8s_liveness_readiness_startup_probes|k8s_debug_pods,k8s_debug_services|k8s_liveness_readiness_startup_probes|k8s_debug_pods|k8s_debug_pods|k8s_debug_services,k8s_debug_services|k8s_liveness_readiness_startup_probes|k8s_debug_pods|k8s_debug_pods|k8s_debug_services|k8s_debug_services|k8s_debug_running_pod|k8s_debug_running_pod|k8s_debug_running_pod|k8s_debug_services,7,,k8s_debug_running_pod:7,0,0,0,0.14285714285714285,3,0,0.0,1,0.3333333333333333,3,3072,768,124.091
top_k_openai_1024_128,5,10,True,text-embedding-3-small,1024,128,character,483,False,eval_002,A Pod is Running but the application is not responding on its expected port. What diagnostic path should I start with?,single,single-troubleshooting,kubernetes,k8s_debug_running_pod,,k8s_debug_running_pod,k8s_debug_services|k8s_liveness_readiness_startup_probes|k8s_debug_pods|k8s_debug_pods|k8s_debug_services,k8s_debug_services::0015|k8s_liveness_readiness_startup_probes::0017|k8s_debug_pods::0000|k8s_debug_pods::0009|k8s_debug_services::0003,Debug Services|Configure Liveness Readiness and Startup Probes|Debug Pods|Debug Pods|Debug Services,0.865775|0.891247|0.893594|0.920422|0.932169,k8s_debug_services,k8s_debug_services|k8s_liveness_readiness_startup_probes|k8s_debug_pods,k8s_debug_services|k8s_liveness_readiness_startup_probes|k8s_debug_pods|k8s_debug_pods|k8s_debug_services,k8s_debug_services|k8s_liveness_readiness_startup_probes|k8s_debug_pods|k8s_debug_pods|k8s_debug_services|k8s_debug_services|k8s_debug_running_pod|k8s_debug_running_pod|k8s_debug_running_pod|k8s_debug_services,7,,k8s_debug_running_pod:7,0,0,0,0.14285714285714285,3,2,0.4,2,0.4,5,5037,1259,124.091
top_k_openai_1024_128,10,10,True,text-embedding-3-small,1024,128,character,483,False,eval_002,A Pod is Running but the application is not responding on its expected port. What diagnostic path should I start with?,single,single-troubleshooting,kubernetes,k8s_debug_running_pod,,k8s_debug_running_pod,k8s_debug_services|k8s_liveness_readiness_startup_probes|k8s_debug_pods|k8s_debug_pods|k8s_debug_services|k8s_debug_services|k8s_debug_running_pod|k8s_debug_running_pod|k8s_debug_running_pod|k8s_debug_services,k8s_debug_services::0015|k8s_liveness_readiness_startup_probes::0017|k8s_debug_pods::0000|k8s_debug_pods::0009|k8s_debug_services::0003|k8s_debug_services::0004|k8s_debug_running_pod::0024|k8s_debug_running_pod::0007|k8s_debug_running_pod::0000|k8s_debug_services::0018,Debug Services|Configure Liveness Readiness and Startup Probes|Debug Pods|Debug Pods|Debug Services|Debug Services|Debug Running Pods|Debug Running Pods|Debug Running Pods|Debug Services,0.865775|0.891247|0.893594|0.920422|0.932169|0.947902|0.963783|0.96624|0.973205|0.973693,k8s_debug_services,k8s_debug_services|k8s_liveness_readiness_startup_probes|k8s_debug_pods,k8s_debug_services|k8s_liveness_readiness_startup_probes|k8s_debug_pods|k8s_debug_pods|k8s_debug_services,k8s_debug_services|k8s_liveness_readiness_startup_probes|k8s_debug_pods|k8s_debug_pods|k8s_debug_services|k8s_debug_services|k8s_debug_running_pod|k8s_debug_running_pod|k8s_debug_running_pod|k8s_debug_services,7,,k8s_debug_running_pod:7,1,1,1,0.14285714285714285,4,6,0.6,4,0.4,10,10155,2539,124.091
top_k_openai_1024_128,1,10,True,text-embedding-3-small,1024,128,character,483,False,eval_007,An application should receive environment specific non-secret settings without rebuilding its image. Which Kubernetes object is relevant?,single,single-conceptual,kubernetes,k8s_configmaps,,k8s_configmaps,k8s_secrets,k8s_secrets::0032,Secrets,0.874743,k8s_secrets,k8s_secrets|k8s_secrets|k8s_secrets,k8s_secrets|k8s_secrets|k8s_secrets|k8s_secrets|k8s_secrets,k8s_secrets|k8s_secrets|k8s_secrets|k8s_secrets|k8s_secrets|k8s_secrets|k8s_secrets|k8s_configmaps|k8s_secrets|k8s_secrets,8,,k8s_configmaps:8,0,0,0,0.125,1,0,0.0,1,1.0,1,1023,256,116.226
top_k_openai_1024_128,3,10,True,text-embedding-3-small,1024,128,character,483,False,eval_007,An application should receive environment specific non-secret settings without rebuilding its image. Which Kubernetes object is relevant?,single,single-conceptual,kubernetes,k8s_configmaps,,k8s_configmaps,k8s_secrets|k8s_secrets|k8s_secrets,k8s_secrets::0032|k8s_secrets::0000|k8s_secrets::0035,Secrets|Secrets|Secrets,0.874743|0.894969|0.954654,k8s_secrets,k8s_secrets|k8s_secrets|k8s_secrets,k8s_secrets|k8s_secrets|k8s_secrets|k8s_secrets|k8s_secrets,k8s_secrets|k8s_secrets|k8s_secrets|k8s_secrets|k8s_secrets|k8s_secrets|k8s_secrets|k8s_configmaps|k8s_secrets|k8s_secrets,8,,k8s_configmaps:8,0,0,0,0.125,1,2,0.6666666666666666,3,1.0,3,3070,768,116.226
top_k_openai_1024_128,5,10,True,text-embedding-3-small,1024,128,character,483,False,eval_007,An application should receive environment specific non-secret settings without rebuilding its image. Which Kubernetes object is relevant?,single,single-conceptual,kubernetes,k8s_configmaps,,k8s_configmaps,k8s_secrets|k8s_secrets|k8s_secrets|k8s_secrets|k8s_secrets,k8s_secrets::0032|k8s_secrets::0000|k8s_secrets::0035|k8s_secrets::0006|k8s_secrets::0001,Secrets|Secrets|Secrets|Secrets|Secrets,0.874743|0.894969|0.954654|0.965253|0.967092,k8s_secrets,k8s_secrets|k8s_secrets|k8s_secrets,k8s_secrets|k8s_secrets|k8s_secrets|k8s_secrets|k8s_secrets,k8s_secrets|k8s_secrets|k8s_secrets|k8s_secrets|k8s_secrets|k8s_secrets|k8s_secrets|k8s_configmaps|k8s_secrets|k8s_secrets,8,,k8s_configmaps:8,0,0,0,0.125,1,4,0.8,5,1.0,5,5117,1279,116.226
top_k_openai_1024_128,10,10,True,text-embedding-3-small,1024,128,character,483,False,eval_007,An application should receive environment specific non-secret settings without rebuilding its image. Which Kubernetes object is relevant?,single,single-conceptual,kubernetes,k8s_configmaps,,k8s_configmaps,k8s_secrets|k8s_secrets|k8s_secrets|k8s_secrets|k8s_secrets|k8s_secrets|k8s_secrets|k8s_configmaps|k8s_secrets|k8s_secrets,k8s_secrets::0032|k8s_secrets::0000|k8s_secrets::0035|k8s_secrets::0006|k8s_secrets::0001|k8s_secrets::0002|k8s_secrets::0036|k8s_configmaps::0012|k8s_secrets::0037|k8s_secrets::0004,Secrets|Secrets|Secrets|Secrets|Secrets|Secrets|Secrets|ConfigMaps|Secrets|Secrets,0.874743|0.894969|0.954654|0.965253|0.967092|0.978061|0.98195|0.98584|0.993115|1.001046,k8s_secrets,k8s_secrets|k8s_secrets|k8s_secrets,k8s_secrets|k8s_secrets|k8s_secrets|k8s_secrets|k8s_secrets,k8s_secrets|k8s_secrets|k8s_secrets|k8s_secrets|k8s_secrets|k8s_secrets|k8s_secrets|k8s_configmaps|k8s_secrets|k8s_secrets,8,,k8s_configmaps:8,1,1,1,0.125,2,8,0.8,9,0.9,10,9991,2498,116.226
top_k_openai_1024_128,1,10,True,text-embedding-3-small,1024,128,character,483,False,eval_019,I need to check whether a network path inside a VPC can reach a destination before changing security groups. Which AWS tool document applies?,single,single-conceptual,aws,aws_vpc_reachability_analyzer,,aws_vpc_reachability_analyzer,aws_eks_auto_mode_troubleshooting,aws_eks_auto_mode_troubleshooting::0021,Troubleshoot EKS Auto Mode,0.856959,aws_eks_auto_mode_troubleshooting,aws_eks_auto_mode_troubleshooting|aws_vpc_reachability_analyzer|aws_ec2_autoscaling_health_checks,aws_eks_auto_mode_troubleshooting|aws_vpc_reachability_analyzer|aws_ec2_autoscaling_health_checks|aws_rds_troubleshooting|aws_eks_auto_mode_troubleshooting,aws_eks_auto_mode_troubleshooting|aws_vpc_reachability_analyzer|aws_ec2_autoscaling_health_checks|aws_rds_troubleshooting|aws_eks_auto_mode_troubleshooting|aws_rds_troubleshooting|aws_rds_troubleshooting|aws_ec2_autoscaling_health_checks|aws_rds_troubleshooting|aws_rds_troubleshooting,2,,aws_vpc_reachability_analyzer:2,0,0,0,0.5,1,0,0.0,1,1.0,1,1023,256,134.174
top_k_openai_1024_128,3,10,True,text-embedding-3-small,1024,128,character,483,False,eval_019,I need to check whether a network path inside a VPC can reach a destination before changing security groups. Which AWS tool document applies?,single,single-conceptual,aws,aws_vpc_reachability_analyzer,,aws_vpc_reachability_analyzer,aws_eks_auto_mode_troubleshooting|aws_vpc_reachability_analyzer|aws_ec2_autoscaling_health_checks,aws_eks_auto_mode_troubleshooting::0021|aws_vpc_reachability_analyzer::0000|aws_ec2_autoscaling_health_checks::0002,Troubleshoot EKS Auto Mode|Troubleshoot reachability issues using Reachability Analyzer|About the health checks for your Auto Scaling group,0.856959|0.940274|0.997758,aws_eks_auto_mode_troubleshooting,aws_eks_auto_mode_troubleshooting|aws_vpc_reachability_analyzer|aws_ec2_autoscaling_health_checks,aws_eks_auto_mode_troubleshooting|aws_vpc_reachability_analyzer|aws_ec2_autoscaling_health_checks|aws_rds_troubleshooting|aws_eks_auto_mode_troubleshooting,aws_eks_auto_mode_troubleshooting|aws_vpc_reachability_analyzer|aws_ec2_autoscaling_health_checks|aws_rds_troubleshooting|aws_eks_auto_mode_troubleshooting|aws_rds_troubleshooting|aws_rds_troubleshooting|aws_ec2_autoscaling_health_checks|aws_rds_troubleshooting|aws_rds_troubleshooting,2,,aws_vpc_reachability_analyzer:2,1,1,1,0.5,3,0,0.0,1,0.3333333333333333,3,3070,768,134.174
