variant,id,question,ground_truth_type,question_type,provider,expected_documents,expected_document_1,expected_document_2,retrieved_doc_ids,retrieved_chunk_ids,retrieved_scores,top_1_doc_id,top_3_doc_ids,top_5_doc_ids,reciprocal_rank,retrieval_latency_ms,retrieved_chunk_count,unique_doc_count,duplicate_chunk_count,duplicate_ratio,max_same_document_occupancy,context_character_count,approximate_token_count,hit_at_1,hit_at_3,hit_at_5,any_hit_at_1,any_hit_at_3,any_hit_at_5,all_hit_at_1,all_hit_at_3,all_hit_at_5
baseline,eval_001,A Kubernetes Pod stays Pending after deployment and no container logs exist yet. What should I inspect first?,single,single-troubleshooting,kubernetes,k8s_debug_pods,k8s_debug_pods,,k8s_debug_running_pod|k8s_debug_pods|k8s_liveness_readiness_startup_probes|k8s_debug_running_pod|k8s_liveness_readiness_startup_probes,k8s_debug_running_pod::0009|k8s_debug_pods::0000|k8s_liveness_readiness_startup_probes::0003|k8s_debug_running_pod::0019|k8s_liveness_readiness_startup_probes::0004,0.642589|0.755127|0.827052|0.829051|0.834397,k8s_debug_running_pod,k8s_debug_running_pod|k8s_debug_pods|k8s_liveness_readiness_startup_probes,k8s_debug_running_pod|k8s_debug_pods|k8s_liveness_readiness_startup_probes|k8s_debug_running_pod|k8s_liveness_readiness_startup_probes,0.5,2779.782,5,3,2,0.4,2,5119,1280,0,1,1,0,1,1,0,1,1
cap2,eval_001,A Kubernetes Pod stays Pending after deployment and no container logs exist yet. What should I inspect first?,single,single-troubleshooting,kubernetes,k8s_debug_pods,k8s_debug_pods,,k8s_debug_running_pod|k8s_debug_pods|k8s_liveness_readiness_startup_probes|k8s_debug_running_pod|k8s_liveness_readiness_startup_probes,k8s_debug_running_pod::0009|k8s_debug_pods::0000|k8s_liveness_readiness_startup_probes::0003|k8s_debug_running_pod::0019|k8s_liveness_readiness_startup_probes::0004,0.642589|0.755127|0.827052|0.829051|0.834397,k8s_debug_running_pod,k8s_debug_running_pod|k8s_debug_pods|k8s_liveness_readiness_startup_probes,k8s_debug_running_pod|k8s_debug_pods|k8s_liveness_readiness_startup_probes|k8s_debug_running_pod|k8s_liveness_readiness_startup_probes,0.5,2779.797,5,3,2,0.4,2,5119,1280,0,1,1,0,1,1,0,1,1
baseline,eval_002,A Pod is Running but the application is not responding on its expected port. What diagnostic path should I start with?,single,single-troubleshooting,kubernetes,k8s_debug_running_pod,k8s_debug_running_pod,,k8s_debug_services|k8s_liveness_readiness_startup_probes|k8s_debug_pods|k8s_debug_pods|k8s_debug_services,k8s_debug_services::0015|k8s_liveness_readiness_startup_probes::0017|k8s_debug_pods::0000|k8s_debug_pods::0009|k8s_debug_services::0003,0.865775|0.891247|0.893594|0.920422|0.932169,k8s_debug_services,k8s_debug_services|k8s_liveness_readiness_startup_probes|k8s_debug_pods,k8s_debug_services|k8s_liveness_readiness_startup_probes|k8s_debug_pods|k8s_debug_pods|k8s_debug_services,0.0,500.336,5,3,2,0.4,2,5037,1259,0,0,0,0,0,0,0,0,0
cap2,eval_002,A Pod is Running but the application is not responding on its expected port. What diagnostic path should I start with?,single,single-troubleshooting,kubernetes,k8s_debug_running_pod,k8s_debug_running_pod,,k8s_debug_services|k8s_liveness_readiness_startup_probes|k8s_debug_pods|k8s_debug_pods|k8s_debug_services,k8s_debug_services::0015|k8s_liveness_readiness_startup_probes::0017|k8s_debug_pods::0000|k8s_debug_pods::0009|k8s_debug_services::0003,0.865775|0.891247|0.893594|0.920422|0.932169,k8s_debug_services,k8s_debug_services|k8s_liveness_readiness_startup_probes|k8s_debug_pods,k8s_debug_services|k8s_liveness_readiness_startup_probes|k8s_debug_pods|k8s_debug_pods|k8s_debug_services,0.0,500.368,5,3,2,0.4,2,5037,1259,0,0,0,0,0,0,0,0,0
baseline,eval_003,A Service has a ClusterIP but requests do not reach any backend Pods. What Kubernetes troubleshooting document should guide the investigation?,single,single-troubleshooting,kubernetes,k8s_debug_services,k8s_debug_services,,k8s_debug_services|k8s_debug_pods|k8s_debug_pods|k8s_debug_services|k8s_debug_services,k8s_debug_services::0012|k8s_debug_pods::0009|k8s_debug_pods::0000|k8s_debug_services::0000|k8s_debug_services::0028,0.771104|0.781494|0.855939|0.877672|0.893469,k8s_debug_services,k8s_debug_services|k8s_debug_pods|k8s_debug_pods,k8s_debug_services|k8s_debug_pods|k8s_debug_pods|k8s_debug_services|k8s_debug_services,1.0,142.656,5,2,3,0.6,3,5037,1259,1,1,1,1,1,1,1,1,1
cap2,eval_003,A Service has a ClusterIP but requests do not reach any backend Pods. What Kubernetes troubleshooting document should guide the investigation?,single,single-troubleshooting,kubernetes,k8s_debug_services,k8s_debug_services,,k8s_debug_services|k8s_debug_pods|k8s_debug_pods|k8s_debug_services|k8s_troubleshooting_applications,k8s_debug_services::0012|k8s_debug_pods::0009|k8s_debug_pods::0000|k8s_debug_services::0000|k8s_troubleshooting_applications::0000,0.771104|0.781494|0.855939|0.877672|0.967035,k8s_debug_services,k8s_debug_services|k8s_debug_pods|k8s_debug_pods,k8s_debug_services|k8s_debug_pods|k8s_debug_pods|k8s_debug_services|k8s_troubleshooting_applications,1.0,142.682,5,3,2,0.4,2,4589,1147,1,1,1,1,1,1,1,1,1
baseline,eval_004,Several Pods restart only after the application becomes unresponsive for a while. Which probe behavior should be reviewed?,single,single-troubleshooting,kubernetes,k8s_liveness_readiness_startup_probes,k8s_liveness_readiness_startup_probes,,k8s_debug_running_pod|k8s_liveness_readiness_startup_probes|k8s_liveness_readiness_startup_probes|k8s_liveness_readiness_startup_probes|k8s_horizontal_pod_autoscaling,k8s_debug_running_pod::0007|k8s_liveness_readiness_startup_probes::0017|k8s_liveness_readiness_startup_probes::0019|k8s_liveness_readiness_startup_probes::0013|k8s_horizontal_pod_autoscaling::0014,0.748004|0.754359|0.815026|0.847499|0.879337,k8s_debug_running_pod,k8s_debug_running_pod|k8s_liveness_readiness_startup_probes|k8s_liveness_readiness_startup_probes,k8s_debug_running_pod|k8s_liveness_readiness_startup_probes|k8s_liveness_readiness_startup_probes|k8s_liveness_readiness_startup_probes|k8s_horizontal_pod_autoscaling,0.5,140.387,5,3,2,0.4,3,4622,1156,0,1,1,0,1,1,0,1,1
cap2,eval_004,Several Pods restart only after the application becomes unresponsive for a while. Which probe behavior should be reviewed?,single,single-troubleshooting,kubernetes,k8s_liveness_readiness_startup_probes,k8s_liveness_readiness_startup_probes,,k8s_debug_running_pod|k8s_liveness_readiness_startup_probes|k8s_liveness_readiness_startup_probes|k8s_horizontal_pod_autoscaling|k8s_debug_pods,k8s_debug_running_pod::0007|k8s_liveness_readiness_startup_probes::0017|k8s_liveness_readiness_startup_probes::0019|k8s_horizontal_pod_autoscaling::0014|k8s_debug_pods::0000,0.748004|0.754359|0.815026|0.879337|0.957293,k8s_debug_running_pod,k8s_debug_running_pod|k8s_liveness_readiness_startup_probes|k8s_liveness_readiness_startup_probes,k8s_debug_running_pod|k8s_liveness_readiness_startup_probes|k8s_liveness_readiness_startup_probes|k8s_horizontal_pod_autoscaling|k8s_debug_pods,0.5,140.408,5,4,1,0.2,2,4622,1156,0,1,1,0,1,1,0,1,1
baseline,eval_005,CPU usage rises during traffic spikes but replica count does not increase. Which Kubernetes autoscaling document is the primary source?,single,single-troubleshooting,kubernetes,k8s_horizontal_pod_autoscaling,k8s_horizontal_pod_autoscaling,,k8s_horizontal_pod_autoscaling|k8s_horizontal_pod_autoscaling|k8s_horizontal_pod_autoscaling|k8s_horizontal_pod_autoscaling|k8s_horizontal_pod_autoscaling,k8s_horizontal_pod_autoscaling::0016|k8s_horizontal_pod_autoscaling::0007|k8s_horizontal_pod_autoscaling::0002|k8s_horizontal_pod_autoscaling::0001|k8s_horizontal_pod_autoscaling::0015,0.849562|0.864114|0.874364|0.893486|0.899781,k8s_horizontal_pod_autoscaling,k8s_horizontal_pod_autoscaling|k8s_horizontal_pod_autoscaling|k8s_horizontal_pod_autoscaling,k8s_horizontal_pod_autoscaling|k8s_horizontal_pod_autoscaling|k8s_horizontal_pod_autoscaling|k8s_horizontal_pod_autoscaling|k8s_horizontal_pod_autoscaling,1.0,125.515,5,1,4,0.8,5,5119,1280,1,1,1,1,1,1,1,1,1
cap2,eval_005,CPU usage rises during traffic spikes but replica count does not increase. Which Kubernetes autoscaling document is the primary source?,single,single-troubleshooting,kubernetes,k8s_horizontal_pod_autoscaling,k8s_horizontal_pod_autoscaling,,k8s_horizontal_pod_autoscaling|k8s_horizontal_pod_autoscaling|k8s_debug_running_pod|k8s_resource_management,k8s_horizontal_pod_autoscaling::0016|k8s_horizontal_pod_autoscaling::0007|k8s_debug_running_pod::0008|k8s_resource_management::0013,0.849562|0.864114|1.021123|1.022069,k8s_horizontal_pod_autoscaling,k8s_horizontal_pod_autoscaling|k8s_horizontal_pod_autoscaling|k8s_debug_running_pod,k8s_horizontal_pod_autoscaling|k8s_horizontal_pod_autoscaling|k8s_debug_running_pod|k8s_resource_management,1.0,125.554,4,3,1,0.25,2,4094,1024,1,1,1,1,1,1,1,1,1
baseline,eval_006,A container is killed when memory usage grows beyond its configured boundary. Which document explains the relevant Kubernetes resource settings?,single,single-troubleshooting,kubernetes,k8s_resource_management,k8s_resource_management,,k8s_resource_management|k8s_resource_management|k8s_resource_management|k8s_resource_management|k8s_resource_management,k8s_resource_management::0002|k8s_resource_management::0035|k8s_resource_management::0013|k8s_resource_management::0032|k8s_resource_management::0017,0.561081|0.658378|0.774847|0.780891|0.786801,k8s_resource_management,k8s_resource_management|k8s_resource_management|k8s_resource_management,k8s_resource_management|k8s_resource_management|k8s_resource_management|k8s_resource_management|k8s_resource_management,1.0,140.44,5,1,4,0.8,5,5117,1279,1,1,1,1,1,1,1,1,1
cap2,eval_006,A container is killed when memory usage grows beyond its configured boundary. Which document explains the relevant Kubernetes resource settings?,single,single-troubleshooting,kubernetes,k8s_resource_management,k8s_resource_management,,k8s_resource_management|k8s_resource_management,k8s_resource_management::0002|k8s_resource_management::0035,0.561081|0.658378,k8s_resource_management,k8s_resource_management|k8s_resource_management,k8s_resource_management|k8s_resource_management,1.0,140.465,2,1,1,0.5,2,2047,512,1,1,1,1,1,1,1,1,1
baseline,eval_007,An application should receive environment specific non-secret settings without rebuilding its image. Which Kubernetes object is relevant?,single,single-conceptual,kubernetes,k8s_configmaps,k8s_configmaps,,k8s_secrets|k8s_secrets|k8s_secrets|k8s_secrets|k8s_secrets,k8s_secrets::0032|k8s_secrets::0000|k8s_secrets::0035|k8s_secrets::0006|k8s_secrets::0001,0.874743|0.894969|0.954654|0.965253|0.967092,k8s_secrets,k8s_secrets|k8s_secrets|k8s_secrets,k8s_secrets|k8s_secrets|k8s_secrets|k8s_secrets|k8s_secrets,0.0,139.55,5,1,4,0.8,5,5117,1279,0,0,0,0,0,0,0,0,0
cap2,eval_007,An application should receive environment specific non-secret settings without rebuilding its image. Which Kubernetes object is relevant?,single,single-conceptual,kubernetes,k8s_configmaps,k8s_configmaps,,k8s_secrets|k8s_secrets|k8s_configmaps|k8s_debug_running_pod|k8s_debug_running_pod,k8s_secrets::0032|k8s_secrets::0000|k8s_configmaps::0012|k8s_debug_running_pod::0038|k8s_debug_running_pod::0037,0.874743|0.894969|0.98584|1.003918|1.008942,k8s_secrets,k8s_secrets|k8s_secrets|k8s_configmaps,k8s_secrets|k8s_secrets|k8s_configmaps|k8s_debug_running_pod|k8s_debug_running_pod,0.3333333333333333,139.59,5,3,2,0.4,2,5118,1280,0,1,1,0,1,1,0,1,1
