id,question,expected_document_1,expected_document_2,ground_truth_type,question_type,expected_answer_summary,usage
seed_001,How can I investigate why a Kubernetes Pod is stuck in Pending?,k8s_debug_pods,,single,single-document,Check Pod status events scheduling messages and kubectl describe output to identify why the Pod has not started.,dev_seed
seed_002,Where should I look when a Kubernetes Service is not routing traffic to its Pods?,k8s_debug_services,,single,single-document,Inspect Service selectors endpoints or EndpointSlices DNS and basic connectivity between the Service and backing Pods.,dev_seed
seed_003,What AWS document should I use when an Auto Scaling instance was taken out of service after a health check failure?,aws_ec2_autoscaling_unhealthy_instances,,single,single-document,Use the unhealthy instance troubleshooting guidance to map Auto Scaling error messages to likely causes and resolution steps.,dev_seed
seed_004,A Pod is Running but the application inside it does not respond as expected. What diagnostic actions should I check first?,k8s_debug_running_pod,,single,single-document,Use running Pod debugging actions such as inspecting logs executing commands in the container and checking container state.,dev_seed
seed_005,My container keeps restarting after Kubernetes health checks fail. Which probe behavior should I review?,k8s_liveness_readiness_startup_probes,,single,single-document,Review liveness readiness and startup probe configuration and how failed probes affect container restarts and traffic readiness.,dev_seed
seed_006,An HPA is configured but the workload is not scaling as expected under load. Which Kubernetes concept document is the best starting point?,k8s_horizontal_pod_autoscaling,,single,single-document,Review how Horizontal Pod Autoscaling observes metrics and adjusts replica counts for a workload.,dev_seed
seed_007,A container was terminated during memory pressure and I need to understand requests and limits. Which document should be retrieved?,k8s_resource_management,,single,single-document,Use resource management guidance for CPU memory requests limits and behavior when containers exceed configured resources.,dev_seed
seed_008,A workload is not picking up non-sensitive configuration values from the cluster. Which Kubernetes document is most relevant?,k8s_configmaps,,single,single-document,Review ConfigMap usage for decoupling non-confidential configuration from container images and workload specs.,dev_seed
seed_009,I need to provide database credentials to a Pod without putting them directly in the image or plain application config. Which document applies?,k8s_secrets,,single,single-document,Use Secrets for sensitive data and understand how Pods can consume secret values securely compared with ordinary config.,dev_seed
seed_010,Users receive intermittent errors through an Application Load Balancer and I need to diagnose target or request handling issues. Which AWS document should I retrieve?,aws_alb_troubleshooting,,single,single-document,Use ALB troubleshooting guidance for target health request failures response codes and load balancer behavior.,dev_seed
seed_011,"After a Pod restarts, I need to understand what logging approach Kubernetes expects for container output and cluster-level collection.",k8s_logging_architecture,,single,contextual,Use Kubernetes logging architecture concepts for container stdout stderr node logging and cluster-level log collection patterns.,dev_seed
seed_012,I need evidence about ALB traffic patterns and target behavior before deciding whether failures are from clients or targets. Which monitoring document is relevant?,aws_alb_monitoring,,single,contextual,Use ALB monitoring features such as CloudWatch metrics access logs connection logs health check logs request tracing and CloudTrail.,dev_seed
seed_013,The application needs a feature flag and a database password. Which Kubernetes documents distinguish how these two values should be represented?,k8s_configmaps,k8s_secrets,multi,multi-document,Use ConfigMaps for non-sensitive configuration and Secrets for sensitive values such as credentials.,dev_seed
seed_014,An Auto Scaling group is replacing instances and I need to distinguish EC2 status checks from load balancer health checks. Which document explains the health check types?,aws_ec2_autoscaling_health_checks,,single,discrimination,Review Auto Scaling health check types including EC2 status checks Elastic Load Balancing checks VPC Lattice EBS and custom checks.,dev_seed
seed_015,A Service has no ready backends after a Deployment change and the Pods have readiness probe failures. Which documents should be used together?,k8s_liveness_readiness_startup_probes,k8s_debug_services,multi,multi-document,Connect readiness probe behavior with Service endpoint routing and Service troubleshooting steps.,dev_seed
seed_016,A database client cannot connect to an RDS instance and I also need to validate whether the network path through the VPC is reachable. Which AWS documents are relevant?,aws_rds_troubleshooting,aws_vpc_reachability_analyzer,multi,multi-document,Use RDS connection troubleshooting for DB access causes and Reachability Analyzer for VPC path reachability analysis.,dev_seed
seed_017,How do I recover a deleted Gmail account?,NONE,,out_of_scope,out-of-scope,The system should not answer from the CloudOps corpus and should trigger fallback behavior in later phases.,dev_seed
seed_018,How do I resolve a Terraform remote state lock in an S3 backend?,NONE,,out_of_scope,out-of-scope,The system should not answer because Terraform state operations are outside the current AWS and Kubernetes troubleshooting corpus.,dev_seed
